,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.85483871 0.94354839 0.86290323 0.89430894 0.91869919],0.8948596905323892,[0.62996942 0.8529052  0.74954128 0.78473132 0.76736566],0.7569025775447794,[0.35714286 0.75862069 0.51428571 0.58064516 0.61538462],0.5652158075517363,[0.64726265 0.87467532 0.69615385 0.74112098 0.80630631],0.7531038202181376,[0.62996942 0.8529052  0.74954128 0.78473132 0.76736566],0.7569025775447794,[0.62996942 0.8529052  0.74954128 0.78473132 0.76736566],0.7569025775447794
1,rf,[0.94354839 0.96774194 0.92741935 0.92682927 0.95121951],0.943351691581432,[0.79541284 0.86666667 0.72874618 0.74082569 0.78571429],0.7834731323722149,[0.72       0.84615385 0.60869565 0.60869565 0.72727273],0.7021635755548798,[0.92368421 0.98230088 0.90301724 0.85818713 0.97391304],0.9282205029685127,[0.79541284 0.86666667 0.72874618 0.74082569 0.78571429],0.7834731323722149,[0.82966361 0.90183486 0.75718654 0.91874181 0.82601573],0.846688510266492
2,log-reg,[0.90322581 0.89516129 0.88709677 0.92682927 0.89430894],0.9013244164699712,[0.62874618 0.59541284 0.59082569 0.70969856 0.56684142],0.6183049366535605,[0.4        0.31578947 0.3        0.57142857 0.23529412],0.3645024325519682,[0.85378151 0.825      0.74957983 0.89408867 0.78333333],0.8211566695643775,[0.62874618 0.59541284 0.59082569 0.70969856 0.56684142],0.6183049366535605,[0.7706422  0.84159021 0.74617737 0.79423329 0.84272608],0.7990738313674093
3,gb,[0.90322581 0.92741935 0.91935484 0.93495935 0.93495935],0.9239837398373985,[0.62874618 0.78623853 0.72415902 0.77653997 0.8076671 ],0.7446701616426387,[0.4        0.66666667 0.58333333 0.66666667 0.69230769],0.6017948717948718,[0.85378151 0.84821429 0.85410628 0.87345133 0.85247748],0.8564061766847342,[0.62874618 0.78623853 0.72415902 0.77653997 0.8076671 ],0.7446701616426387,[0.55321101 0.82691131 0.7883792  0.83846658 0.8774574 ],0.7768851026649191
4,mlp,[0.90322581 0.91935484 0.91129032 0.93495935 0.93495935],0.9207579333857854,[0.62874618 0.69541284 0.69082569 0.8076671  0.74541284],0.7136129314110966,[0.4        0.54545455 0.52173913 0.69230769 0.63636364],0.5591730009121314,[0.85378151 0.89010989 0.8362069  0.85247748 0.90706522],0.8679281988270876,[0.62874618 0.69541284 0.69082569 0.8076671  0.74541284],0.7136129314110966,[0.79449541 0.8587156  0.75535168 0.74705111 0.90629096],0.8123809523809523
5,svm,[0.89516129 0.90322581 0.88709677 0.91056911 0.87804878],0.8948203514293208,[0.56666667 0.6        0.53333333 0.60714286 0.49541284],0.5605111402359109,[0.23529412 0.33333333 0.125      0.35294118 0.        ],0.20931372549019608,[0.94672131 0.95041322 0.94308943 0.95416667 0.44262295],0.8474027165993107,[0.56666667 0.6        0.53333333 0.60714286 0.49541284],0.5605111402359109,[0.71804281 0.82996942 0.8324159  0.88859764 0.83093054],0.8199912625600699
6,xgb,[0.92741935 0.9516129  0.89516129 0.92682927 0.94308943],0.9288224495148176,[0.72874618 0.85749235 0.73914373 0.77195282 0.78112713],0.7756924421144605,[0.60869565 0.78571429 0.55172414 0.64       0.69565217],0.6563572499464553,[0.90301724 0.90505891 0.7538961  0.83685065 0.91812865],0.8633903109311458,[0.72874618 0.85749235 0.73914373 0.77195282 0.78112713],0.7756924421144605,[0.79266055 0.88103976 0.79204893 0.91448231 0.91349934],0.8587461773700307
