,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.69454545 0.72495446],0.7097499586024176,[0.6943504  0.72498142],0.7096659102957601,[0.68656716 0.72394881],0.7052579879396437,[0.69463869 0.7249635 ],0.7098010991441648,[0.6943504  0.72498142],0.7096659102957601,[0.6943504  0.72498142],0.7096659102957601
1,rf,[0.72181818 0.75045537],0.7361367776121874,[0.72204295 0.75065035],0.7363466521325306,[0.72531418 0.7540395 ],0.7396768402154399,[0.72231049 0.75099681],0.736653651710752,[0.72204295 0.75065035],0.7363466521325306,[0.80988151 0.82621045],0.8180459773188032
2,log-reg,[0.73818182 0.7704918 ],0.7543368107302533,[0.73799196 0.77063867],0.7543153150021923,[0.73134328 0.77256318],0.7519532302386982,[0.73834499 0.77081839],0.7545816901243629,[0.73799196 0.77063867],0.7543153150021923,[0.82622725 0.85722818],0.8417277167860107
3,gb,[0.73454545 0.77777778],0.7561616161616161,[0.73467256 0.77799161],0.7563320839399832,[0.73550725 0.78136201],0.7584346267726352,[0.73472222 0.77845728],0.7565897531914643,[0.73467256 0.77799161],0.7563320839399832,[0.81655337 0.85240364],0.8344785084546507
4,mlp,[0.73454545 0.77595628],0.7552508693492299,[0.73459321 0.7762861 ],0.7554396544348722,[0.73357664 0.78230088],0.7579387636457593,[0.73456839 0.77752373],0.756046060894518,[0.73459321 0.7762861 ],0.7554396544348722,[0.83018144 0.85377734],0.8419793921711218
5,svm,[0.72       0.75227687],0.7361384335154827,[0.7200857  0.75248859],0.7362871409179728,[0.72      0.7562724],0.7381362007168459,[0.7200857  0.75291154],0.7364986166405163,[0.7200857  0.75248859],0.7362871409179728,[0.80276661 0.82205617],0.8124113896396155
6,xgb,[0.71454545 0.75227687],0.73341116078821,[0.71441229 0.75268767],0.7335499831181985,[0.70871985 0.76140351],0.735061680174462,[0.71456836 0.75453221],0.7345502843645881,[0.71441229 0.75268767],0.7335499831181985,[0.80288563 0.8186916 ],0.8107886169297732
