,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.93103448 0.93103448 0.93103448 0.93103448 0.92857143],0.9305418719211822,[0.5 0.5 0.5 0.5 0.5],0.5,[0.96428571 0.96428571 0.96428571 0.96428571 0.96296296],0.9640211640211641,[0.46551724 0.46551724 0.46551724 0.46551724 0.46428571],0.4652709359605911,[0.5 0.5 0.5 0.5 0.5],0.5,[0.75       0.2962963  0.5        0.55555556 0.75      ],0.5703703703703704
1,rf,[0.93103448 0.93103448 0.93103448 0.93103448 0.92857143],0.9305418719211822,[0.5 0.5 0.5 0.5 0.5],0.5,[0.96428571 0.96428571 0.96428571 0.96428571 0.96296296],0.9640211640211641,[0.46551724 0.46551724 0.46551724 0.46551724 0.46428571],0.4652709359605911,[0.5 0.5 0.5 0.5 0.5],0.5,[0.73148148 0.7037037  0.5        0.88888889 0.98076923],0.760968660968661
2,log-reg,[0.96551724 0.93103448 0.93103448 0.93103448 0.92857143],0.9374384236453202,[0.75 0.5  0.5  0.5  0.5 ],0.55,[0.98181818 0.96428571 0.96428571 0.96428571 0.96296296],0.9675276575276575,[0.98214286 0.46551724 0.46551724 0.46551724 0.46428571],0.5685960591133006,[0.75 0.5  0.5  0.5  0.5 ],0.55,[0.72222222 0.64814815 0.05555556 0.7962963  0.96153846],0.6367521367521368
3,gb,[0.93103448 0.93103448 0.93103448 0.93103448 0.92857143],0.9305418719211822,[0.5 0.5 0.5 0.5 0.5],0.5,[0.96428571 0.96428571 0.96428571 0.96428571 0.96296296],0.9640211640211641,[0.46551724 0.46551724 0.46551724 0.46551724 0.46428571],0.4652709359605911,[0.5 0.5 0.5 0.5 0.5],0.5,[0.75925926 0.75925926 0.44444444 0.92592593 0.72115385],0.722008547008547
4,mlp,[0.93103448 0.93103448 0.93103448 0.93103448 0.92857143],0.9305418719211822,[0.5 0.5 0.5 0.5 0.5],0.5,[0.96428571 0.96428571 0.96428571 0.96428571 0.96296296],0.9640211640211641,[0.46551724 0.46551724 0.46551724 0.46551724 0.46428571],0.4652709359605911,[0.5 0.5 0.5 0.5 0.5],0.5,[0.90740741 0.24074074 0.25925926 0.35185185 0.09615385],0.37108262108262113
5,svm,[0.93103448 0.93103448 0.93103448 0.93103448 0.92857143],0.9305418719211822,[0.5 0.5 0.5 0.5 0.5],0.5,[0.96428571 0.96428571 0.96428571 0.96428571 0.96296296],0.9640211640211641,[0.46551724 0.46551724 0.46551724 0.46551724 0.46428571],0.4652709359605911,[0.5 0.5 0.5 0.5 0.5],0.5,[0.5        0.55555556 0.51851852 0.7037037  0.55769231],0.5670940170940171
6,xgb,[0.93103448 0.93103448 0.93103448 0.93103448 0.92857143],0.9305418719211822,[0.5 0.5 0.5 0.5 0.5],0.5,[0.96428571 0.96428571 0.96428571 0.96428571 0.96296296],0.9640211640211641,[0.46551724 0.46551724 0.46551724 0.46551724 0.46428571],0.4652709359605911,[0.5 0.5 0.5 0.5 0.5],0.5,[0.42592593 0.53703704 0.27777778 0.83333333 0.65384615],0.5455840455840455
