,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.85416667 0.81944444],0.8368055555555556,[0.55952381 0.66836498],0.6139443966563003,[0.91954023 0.89430894],0.9069245864872442,[0.61111111 0.62218487],0.6166479925303454,[0.55952381 0.66836498],0.6139443966563003,[0.55952381 0.66836498],0.6139443966563003
1,rf,[0.86805556 0.88194444],0.875,[0.49603175 0.60189903],0.5489653866796063,[0.92936803 0.93536122],0.9323646232349074,[0.43706294 0.70220588],0.5696344097079391,[0.49603175 0.60189903],0.5489653866796063,[0.7462522  0.78161186],0.7639320309634499
2,log-reg,[0.88194444 0.90277778],0.8923611111111112,[0.57539683 0.74108384],0.658240330252836,[0.93584906 0.9453125 ],0.9405807783018868,[0.74604317 0.76899225],0.7575177067648207,[0.57539683 0.74108384],0.658240330252836,[0.74162257 0.79759148],0.7696070262459023
3,gb,[0.88888889 0.89583333],0.8923611111111112,[0.57936508 0.78809634],0.6837307101318217,[0.93984962 0.94023904],0.9400443339424258,[0.82142857 0.75080645],0.7861175115207373,[0.57936508 0.78809634],0.6837307101318217,[0.64329806 0.85988884],0.7515934486947302
4,mlp,[0.875      0.88888889],0.8819444444444444,[0.5        0.52941176],0.5147058823529411,[0.93333333 0.94074074],0.9370370370370371,[0.4375     0.94405594],0.6907779720279721,[0.5        0.52941176],0.5147058823529411,[0.47222222 0.69615563],0.5841889249137975
5,svm,[0.875      0.89583333],0.8854166666666667,[0.5        0.58429829],0.5421491431218157,[0.93333333 0.94382022],0.9385767790262173,[0.4375 0.825 ],0.63125,[0.5        0.58429829],0.5421491431218157,[0.7861552  0.82491894],0.8055370733887022
6,xgb,[0.88194444 0.875     ],0.8784722222222222,[0.57539683 0.67438629],0.6248915576729379,[0.93584906 0.9296875 ],0.9327682783018868,[0.74604317 0.69457364],0.7203084044392393,[0.57539683 0.67438629],0.6248915576729379,[0.7010582  0.85803613],0.7795471644475813
