,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.75   0.625  0.6625 0.7625 0.7   ],0.7,[0.74609131 0.61528822 0.6585213  0.75877193 0.69298246],0.6943310433682706,[0.78723404 0.69387755 0.69662921 0.78651685 0.74468085],0.741787702410632,[0.77498253 0.63690476 0.66312057 0.76627982 0.71153846],0.7105652279979859,[0.74609131 0.61528822 0.6585213  0.75877193 0.69298246],0.6943310433682706,[0.70856785 0.69016291 0.71710526 0.77286967 0.73057644],0.7238564281247208
1,rf,[0.6625 0.65   0.6875 0.75   0.725 ],0.6950000000000001,[0.66072545 0.65037594 0.68233083 0.75062657 0.72556391],0.6939245393032298,[0.68965517 0.65853659 0.72527473 0.75609756 0.73170732],0.7122542722206305,[0.66432225 0.65       0.6915734  0.75       0.725     ],0.6961791308388714,[0.66072545 0.65037594 0.68233083 0.75062657 0.72556391],0.6939245393032298,[0.77360851 0.76785714 0.72556391 0.7947995  0.82330827],0.777027465474192
2,log-reg,[0.75   0.6875 0.7375 0.8    0.7875],0.7525,[0.74859287 0.67982456 0.73245614 0.79949875 0.78884712],0.749843887392026,[0.76744186 0.73684211 0.76923077 0.80952381 0.79012346],0.7746324002545952,[0.75238095 0.70055905 0.74423963 0.79949875 0.78830519],0.7569967141888789,[0.74859287 0.67982456 0.73245614 0.79949875 0.78884712],0.749843887392026,[0.85334584 0.79542607 0.74467419 0.83897243 0.83709273],0.8139022509369107
3,gb,[0.725  0.7    0.7125 0.6875 0.75  ],0.715,[0.72170106 0.69423559 0.70864662 0.67481203 0.74686717],0.70925249333465,[0.76086957 0.73913043 0.74157303 0.75728155 0.77272727],0.7543163719666393,[0.73968898 0.70666667 0.71470019 0.74072476 0.75191816],0.7307397520848838,[0.72170106 0.69423559 0.70864662 0.67481203 0.74686717],0.70925249333465,[0.80487805 0.77694236 0.74216792 0.83427318 0.81296992],0.7942462864478269
4,mlp,[0.6375 0.6625 0.65   0.575  0.6625],0.6375,[0.63195747 0.6547619  0.64035088 0.56766917 0.6585213 ],0.6306521463132503,[0.70707071 0.71578947 0.71428571 0.63829787 0.69662921],0.6944145961728407,[0.6653605  0.67260657 0.66666667 0.57417582 0.66312057],0.6483860257237517,[0.63195747 0.6547619  0.64035088 0.56766917 0.6585213 ],0.6306521463132503,[0.64790494 0.65350877 0.68295739 0.55419799 0.69172932],0.6460596848594282
5,svm,[0.725  0.65   0.7375 0.7    0.75  ],0.7125,[0.72420263 0.64661654 0.72869674 0.69674185 0.74686717],0.7086249864812124,[0.73809524 0.68181818 0.78350515 0.72727273 0.77272727],0.740683714910519,[0.72532998 0.64961637 0.76545455 0.70076726 0.75191816],0.718617263375962,[0.72420263 0.64661654 0.72869674 0.69674185 0.74686717],0.7086249864812124,[0.80268918 0.77224311 0.76973684 0.76347118 0.82111529],0.7858511193556122
6,xgb,[0.6875 0.675  0.7    0.6875 0.75  ],0.7,[0.68323952 0.67293233 0.69423559 0.68233083 0.7481203 ],0.6961717144643973,[0.73684211 0.69767442 0.73913043 0.72527473 0.76744186],0.733272708878052,[0.70868946 0.67424242 0.70666667 0.6915734  0.75      ],0.7062343906307039,[0.68323952 0.67293233 0.69423559 0.68233083 0.7481203 ],0.6961717144643973,[0.75578487 0.75908521 0.74749373 0.7910401  0.81672932],0.7740266472936563
