,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.75   0.625  0.6625 0.7125 0.7   ],0.6900000000000001,[0.74609131 0.61528822 0.6585213  0.70112782 0.69298246],0.6828022213131326,[0.78723404 0.69387755 0.69662921 0.77227723 0.74468085],0.7389397771686695,[0.77498253 0.63690476 0.66312057 0.7590799  0.71153846],0.7091252447332641,[0.74609131 0.61528822 0.6585213  0.70112782 0.69298246],0.6828022213131326,[0.70856785 0.69016291 0.71710526 0.77286967 0.73057644],0.7238564281247208
1,rf,[0.65   0.675  0.625  0.775  0.7625],0.6975,[0.64978111 0.6716792  0.62155388 0.77443609 0.76378446],0.696246949456192,[0.65853659 0.70454545 0.65909091 0.78571429 0.7654321 ],0.714663866696387,[0.64978111 0.67519182 0.62404092 0.77443609 0.76328956],0.697347899193337,[0.64978111 0.6716792  0.62155388 0.77443609 0.76378446],0.696246949456192,[0.7804878  0.75845865 0.71021303 0.81296992 0.84805764],0.7820374105996699
2,log-reg,[0.7625 0.6625 0.7125 0.7875 0.7875],0.7424999999999999,[0.76328956 0.65726817 0.70614035 0.78634085 0.78884712],0.7403772094401107,[0.75949367 0.7032967  0.75268817 0.8        0.79012346],0.7611204006031826,[0.76378446 0.66524029 0.7224476  0.78724073 0.78830519],0.7454036540784182,[0.76328956 0.65726817 0.70614035 0.78634085 0.78884712],0.7403772094401107,[0.84427767 0.79010025 0.73621554 0.85025063 0.84273183],0.8127151838320004
3,gb,[0.7125 0.7125 0.6875 0.7125 0.7   ],0.7049999999999998,[0.7126329  0.70739348 0.68233083 0.71115288 0.70050125],0.7028022683350026,[0.71604938 0.74725275 0.72527473 0.72941176 0.70731707],0.7250611386240273,[0.7125     0.71790652 0.6915734  0.71181647 0.7       ],0.7067592777262159,[0.7126329  0.70739348 0.68233083 0.71115288 0.70050125],0.7028022683350026,[0.83239525 0.77005013 0.75125313 0.8226817  0.75971178],0.787218397776806
4,mlp,[0.6375 0.65   0.675  0.5875 0.6625],0.6425000000000001,[0.63195747 0.64035088 0.6641604  0.5783208  0.65726817],0.6344115448094909,[0.70707071 0.71428571 0.74       0.65979381 0.7032967 ],0.7048893878172228,[0.6653605  0.66666667 0.70532915 0.59090909 0.66524029],0.6587011404824848,[0.63195747 0.64035088 0.6641604  0.5783208  0.65726817],0.6344115448094909,[0.60787992 0.63909774 0.66353383 0.52443609 0.6566416 ],0.6183178396272107
5,svm,[0.7    0.675  0.725  0.6875 0.75  ],0.7075,[0.69918699 0.67293233 0.71804511 0.68609023 0.7518797 ],0.7056268720581944,[0.71428571 0.69767442 0.76595745 0.70588235 0.75      ],0.7267599865280105,[0.70018856 0.67424242 0.73901099 0.68667505 0.7518797 ],0.7103993440590747,[0.69918699 0.67293233 0.71804511 0.68609023 0.7518797 ],0.7056268720581944,[0.80050031 0.78070175 0.76002506 0.78446115 0.8245614 ],0.7900499372258037
6,xgb,[0.6875 0.6875 0.6875 0.725  0.775 ],0.7125,[0.68761726 0.68483709 0.68358396 0.72055138 0.77067669],0.7094532767190019,[0.69135802 0.71264368 0.71910112 0.75555556 0.8       ],0.7357316764006677,[0.6875     0.68730159 0.68891038 0.72916667 0.78125   ],0.7148257268735992,[0.68761726 0.68483709 0.68358396 0.72055138 0.77067669],0.7094532767190019,[0.77298311 0.75062657 0.71365915 0.79887218 0.82080201],0.7713886028391804
