,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.78947368 0.72368421 0.72368421 0.72       0.73333333],0.7380350877192983,[0.66320346 0.5        0.5        0.5        0.5       ],0.5326406926406927,[0.86666667 0.83969466 0.83969466 0.8372093  0.84615385],0.8458838256246386,[0.76363636 0.36184211 0.36184211 0.36       0.36666667],0.44279744816586925,[0.66320346 0.5        0.5        0.5        0.5       ],0.5326406926406927,[0.73116883 0.69047619 0.74458874 0.74338624 0.69681818],0.7212876382876383
1,rf,[0.78947368 0.80263158 0.72368421 0.78666667 0.78666667],0.7778245614035088,[0.67792208 0.65757576 0.6030303  0.67724868 0.64772727],0.6527008177008178,[0.86440678 0.87804878 0.82051282 0.86206897 0.86666667],0.8583408025691102,[0.75091575 0.83455882 0.63709677 0.74937965 0.75      ],0.744390200248834,[0.67792208 0.65757576 0.6030303  0.67724868 0.64772727],0.6527008177008178,[0.82424242 0.82813853 0.76190476 0.89153439 0.79272727],0.8197094757094756
2,log-reg,[0.75       0.85526316 0.76315789 0.82666667 0.78666667],0.7963508771929824,[0.65064935 0.73809524 0.64502165 0.71957672 0.61590909],0.6738504088504088,[0.83478261 0.90909091 0.84745763 0.88888889 0.87096774],0.8702375551459156,[0.68125    0.91666667 0.7045177  0.82936508 0.80797101],0.7879540930084408,[0.65064935 0.73809524 0.64502165 0.71957672 0.61590909],0.6738504088504088,[0.78571429 0.82597403 0.77186147 0.87962963 0.78136364],0.8089086099086099
3,gb,[0.78947368 0.85526316 0.77631579 0.77333333 0.8       ],0.7988771929824562,[0.72207792 0.73809524 0.63939394 0.5952381  0.68863636],0.6766883116883118,[0.85714286 0.90909091 0.85950413 0.864      0.87179487],0.8723065540520085,[0.73684211 0.91666667 0.74393939 0.88028169 0.75744417],0.8070348049489109,[0.72207792 0.73809524 0.63939394 0.5952381  0.68863636],0.6766883116883118,[0.84069264 0.88138528 0.75541126 0.82583774 0.82727273],0.8261199294532627
4,mlp,[0.73684211 0.75       0.72368421 0.62666667 0.74666667],0.7167719298245614,[0.53852814 0.54761905 0.52943723 0.52248677 0.525     ],0.5326142376142375,[0.84375    0.85271318 0.83464567 0.74545455 0.85271318],0.8258553142670063,[0.70319635 0.87162162 0.61805556 0.52396617 0.87162162],0.7176922622488592,[0.53852814 0.54761905 0.52943723 0.52248677 0.525     ],0.5326142376142375,[0.65541126 0.67532468 0.64935065 0.56084656 0.58272727],0.6247320827320827
5,svm,[0.77631579 0.80263158 0.71052632 0.82666667 0.78666667],0.780561403508772,[0.65411255 0.65757576 0.59393939 0.71957672 0.61590909],0.6482227032227031,[0.85714286 0.87804878 0.81034483 0.88888889 0.87096774],0.8610786192082482,[0.73177083 0.83455882 0.61857923 0.82936508 0.80797101],0.7644489971386511,[0.65411255 0.65757576 0.59393939 0.71957672 0.61590909],0.6482227032227031,[0.83679654 0.81645022 0.71991342 0.83112875 0.76590909],0.7940396023729356
6,xgb,[0.78947368 0.82894737 0.73684211 0.8        0.8       ],0.7910526315789473,[0.67792208 0.71991342 0.61212121 0.71560847 0.65681818],0.6764766714766715,[0.86440678 0.8907563  0.83050847 0.86725664 0.87603306],0.8657922503555355,[0.75091575 0.83072917 0.65811966 0.75900424 0.79040404],0.7578345706788504,[0.67792208 0.71991342 0.61212121 0.71560847 0.65681818],0.6764766714766715,[0.77705628 0.82077922 0.77619048 0.87962963 0.80818182],0.8123674843674845
