,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.87931034 0.89655172 0.87931034 0.87719298 0.87719298],0.8819116757410768,[0.5        0.57142857 0.5        0.5        0.5       ],0.5142857142857142,[0.93577982 0.94444444 0.93577982 0.93457944 0.93457944],0.9370325911953279,[0.43965517 0.94736842 0.43965517 0.43859649 0.43859649],0.5407743496672717,[0.5        0.57142857 0.5        0.5        0.5       ],0.5142857142857142,[0.66806723 0.7394958  0.74929972 0.86428571 0.82285714],0.7688011204481793
1,rf,[0.87931034 0.89655172 0.87931034 0.9122807  0.9122807 ],0.895946763460375,[0.56162465 0.57142857 0.6232493  0.64285714 0.70428571],0.6206890756302521,[0.93457944 0.94444444 0.93333333 0.95238095 0.95145631],0.9432388960181356,[0.69642857 0.94736842 0.7037037  0.95454545 0.83726415],0.8278620603347516,[0.56162465 0.57142857 0.6232493  0.64285714 0.70428571],0.6206890756302521,[0.81372549 0.8907563  0.76330532 0.84       0.90857143],0.8432717086834733
2,log-reg,[0.86206897 0.89655172 0.87931034 0.92982456 0.92982456],0.8995160314579552,[0.49019608 0.63305322 0.56162465 0.71428571 0.71428571],0.6226890756302521,[0.92592593 0.94339623 0.93457944 0.96153846 0.96153846],0.945395702934056,[0.43859649 0.78787879 0.69642857 0.96296296 0.96296296],0.769765955292271,[0.49019608 0.63305322 0.56162465 0.71428571 0.71428571],0.6226890756302521,[0.82492997 0.94117647 0.67226891 0.89571429 0.83      ],0.8328179271708682
3,gb,[0.87931034 0.9137931  0.87931034 0.92982456 0.94736842],0.9099213551119177,[0.5        0.70448179 0.6232493  0.71428571 0.78571429],0.6655462184873949,[0.93577982 0.95238095 0.93333333 0.96153846 0.97087379],0.9507812700348552,[0.43965517 0.83796296 0.7037037  0.96296296 0.97169811],0.783196583050194,[0.5        0.70448179 0.6232493  0.71428571 0.78571429],0.6655462184873949,[0.80532213 0.87394958 0.66106443 0.89428571 0.88857143],0.8246386554621848
4,mlp,[0.87931034 0.87931034 0.89655172 0.89473684 0.9122807 ],0.8924379915305505,[0.5        0.5        0.57142857 0.57142857 0.64285714],0.5571428571428572,[0.93577982 0.93577982 0.94444444 0.94339623 0.95238095],0.9423562512536028,[0.43965517 0.43965517 0.94736842 0.94642857 0.95454545],0.7455305583708488,[0.5        0.5        0.57142857 0.57142857 0.64285714],0.5571428571428572,[0.43697479 0.63865546 0.64145658 0.58142857 0.59142857],0.5779887955182073
5,svm,[0.87931034 0.87931034 0.82758621 0.89473684 0.89473684],0.8751361161524501,[0.5        0.5        0.47058824 0.63285714 0.69428571],0.5595462184873949,[0.93577982 0.93577982 0.90566038 0.94230769 0.94117647],0.9321408346563882,[0.43965517 0.43965517 0.43636364 0.78703704 0.76153846],0.5728498959533442,[0.5        0.5        0.47058824 0.63285714 0.69428571],0.5595462184873949,[0.80672269 0.89635854 0.65966387 0.85428571 0.88      ],0.819406162464986
6,xgb,[0.87931034 0.94827586 0.87931034 0.89473684 0.87719298],0.8957652752571083,[0.6232493  0.78571429 0.6232493  0.57142857 0.5       ],0.6207282913165265,[0.93333333 0.97142857 0.93333333 0.94339623 0.93457944],0.9432141807525337,[0.7037037  0.97222222 0.7037037  0.94642857 0.43859649],0.7529309384572542,[0.6232493  0.78571429 0.6232493  0.57142857 0.5       ],0.6207282913165265,[0.80952381 0.93137255 0.77170868 0.86571429 0.84857143],0.8453781512605042
