,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.70089286 0.75784753],0.729370195387572,[0.63941834 0.72878378],0.6841010641513998,[0.5037037 0.64     ],0.5718518518518518,[0.65833333 0.72878378],0.6935585585585586,[0.63941834 0.72878378],0.6841010641513998,[0.63941834 0.72878378],0.6841010641513997
1,rf,[0.73660714 0.7264574 ],0.731532270980141,[0.68612975 0.67554054],0.6808351472277647,[0.57553957 0.56115108],0.5683453237410072,[0.703125   0.69147995],0.6973024764150944,[0.68612975 0.67554054],0.6808351472277647,[0.76165548 0.77441441],0.7680349476993772
2,log-reg,[0.72767857 0.74439462],0.7360365951313261,[0.68272931 0.70878378],0.6957565451357398,[0.57342657 0.6122449 ],0.5928357356928785,[0.69249623 0.71316225],0.7028292404582821,[0.68272931 0.70878378],0.6957565451357398,[0.78326622 0.80189189],0.7925790555656328
3,gb,[0.75892857 0.75336323],0.7561459000640615,[0.72939597 0.72869369],0.729044833424028,[0.64       0.64052288],0.6402614379084968,[0.72939597 0.72444739],0.7269216824215667,[0.72939597 0.72869369],0.729044833424028,[0.80348993 0.82202703],0.8127584799564664
4,mlp,[0.69642857 0.73991031],0.7181694426649583,[0.62944072 0.6790991 ],0.654269907491384,[0.48484848 0.56060606],0.5227272727272727,[0.65195924 0.71010357],0.6810314057996879,[0.62944072 0.6790991 ],0.654269907491384,[0.75865772 0.77225225],0.7654549851865288
5,svm,[0.70982143 0.73991031],0.7248658712363869,[0.64281879 0.64621622],0.6445175040812625,[0.50381679 0.48214286],0.4929798255179934,[0.66964286 0.73583261],0.7027377319716029,[0.64281879 0.64621622],0.6445175040812625,[0.75194631 0.77144144],0.7616938750831368
6,xgb,[0.69196429 0.71748879],0.7047265374759769,[0.6360179  0.68851351],0.662265705302618,[0.50359712 0.58823529],0.5459162082099026,[0.6484375  0.68501326],0.6667253812997347,[0.6360179  0.68851351],0.662265705302618,[0.76536913 0.79022523],0.7777971763710019
