,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.94782609 0.94782609 0.95614035 0.94736842 0.94736842],0.9493058733790999,[0.5 0.5 0.5 0.5 0.5],0.5,[0. 0. 0. 0. 0.],0.0,[0.47391304 0.47391304 0.47807018 0.47368421 0.47368421],0.47465293668954994,[0.5 0.5 0.5 0.5 0.5],0.5,[0.81345566 0.91055046 0.68440367 0.69675926 0.56790123],0.7346140559519764
1,rf,[0.96521739 0.97391304 0.97368421 0.97368421 0.95614035],0.9685278413424866,[0.74541284 0.75       0.7        0.75       0.58333333],0.7057492354740063,[0.6        0.66666667 0.57142857 0.66666667 0.28571429],0.5580952380952381,[0.86148649 0.98660714 0.98660714 0.98648649 0.97787611],0.9598126729763898,[0.74541284 0.75       0.7        0.75       0.58333333],0.7057492354740063,[0.93425076 0.94571865 0.8293578  0.91435185 0.81944444],0.8886247026843357
2,log-reg,[0.95652174 0.93913043 0.98245614 0.95614035 0.94736842],0.956323417238749,[0.66207951 0.57415902 0.8        0.74074074 0.5       ],0.6553958545701665,[0.44444444 0.22222222 0.75       0.54545455 0.        ],0.3924242424242424,[0.81547619 0.64434524 0.99099099 0.78623853 0.47368421],0.7421470324397654,[0.66207951 0.57415902 0.8        0.74074074 0.5       ],0.6553958545701665,[0.95107034 0.85626911 0.90917431 0.90200617 0.88734568],0.9011731226639483
3,gb,[0.94782609 0.94782609 0.95614035 0.94736842 0.95614035],0.9510602593440121,[0.57874618 0.5        0.5        0.5        0.58333333],0.5324159021406728,[0.25       0.         0.         0.         0.28571429],0.10714285714285714,[0.72787611 0.47391304 0.47807018 0.47368421 0.97787611],0.6262839283665107,[0.57874618 0.5        0.5        0.5        0.58333333],0.5324159021406728,[0.81039755 0.77828746 0.83486239 0.65200617 0.58719136],0.7325489862951637
4,mlp,[0.95652174 0.96521739 0.98245614 0.97368421 0.97368421],0.9703127383676582,[0.81957187 0.66666667 0.8        0.8287037  0.75      ],0.7729884471627592,[0.61538462 0.5        0.75       0.72727273 0.66666667],0.6518648018648018,[0.77645503 0.98230088 0.99099099 0.89082569 0.98648649],0.9254118153923303,[0.81957187 0.66666667 0.8        0.8287037  0.75      ],0.7729884471627592,[0.84021407 0.98623853 0.96513761 0.85493827 0.84645062],0.8985958205912337
5,svm,[0.94782609 0.95652174 0.96491228 0.95614035 0.95614035],0.9563081617086194,[0.65749235 0.58333333 0.79082569 0.74074074 0.58333333],0.6711450900441727,[0.4        0.28571429 0.6        0.54545455 0.28571429],0.4233766233766233,[0.73198198 0.97807018 0.79082569 0.78623853 0.97787611],0.852998496759751,[0.65749235 0.58333333 0.79082569 0.74074074 0.58333333],0.6711450900441727,[0.85703364 0.92201835 0.86880734 0.89737654 0.79861111],0.8687693963076226
6,xgb,[0.96521739 0.97391304 0.97368421 0.96491228 0.95614035],0.9667734553775743,[0.82415902 0.75       0.7        0.74537037 0.58333333],0.7205725450220863,[0.66666667 0.66666667 0.57142857 0.6        0.28571429],0.5580952380952381,[0.82415902 0.98660714 0.98660714 0.86136364 0.97787611],0.927322609935868,[0.82415902 0.75       0.7        0.74537037 0.58333333],0.7205725450220863,[0.85703364 0.97171254 0.85321101 0.8912037  0.88040123],0.8907124249631895
