,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.87818182 0.87613843],0.8771601258486504,[0.67791512 0.71516393],0.6965395293495504,[0.43697479 0.47692308],0.4569489334195217,[0.69155902 0.69338768],0.6924733502057021,[0.67791512 0.71516393],0.6965395293495504,[0.67791512 0.71516393],0.6965395293495504
1,rf,[0.92363636 0.93260474],0.928120549759894,[0.68945003 0.72540984],0.7074299312533051,[0.53333333 0.60215054],0.567741935483871,[0.89217296 0.90558511],0.8988790337607285,[0.68945003 0.72540984],0.7074299312533051,[0.84462586 0.86168033],0.8531530936012691
2,log-reg,[0.91636364 0.91074681],0.9135552243748966,[0.65719196 0.61987705],0.6385345055526177,[0.46511628 0.37974684],0.4224315572564027,[0.87674271 0.87335217],0.8750474390095451,[0.65719196 0.61987705],0.6385345055526177,[0.81613564 0.85229105],0.8342133466549921
3,gb,[0.92       0.93260474],0.9263023679417122,[0.68740085 0.75409836],0.7207496033844527,[0.52173913 0.63366337],0.5777012483857082,[0.86346154 0.87151277],0.8674871542995315,[0.68740085 0.75409836],0.7207496033844527,[0.82492729 0.87093523],0.8479312598070238
4,mlp,[0.91636364 0.93624772],0.9263056797483027,[0.67127181 0.74897541],0.7101236118455844,[0.48888889 0.63917526],0.5640320733104238,[0.85454297 0.90131579],0.8779293780428082,[0.67127181 0.74897541],0.7101236118455844,[0.82020095 0.84866299],0.8344319728480898
5,svm,[0.90181818 0.89981785],0.9008180162278523,[0.56451613 0.57069672],0.5676064251718667,[0.22857143 0.24657534],0.23757338551859103,[0.9501845  0.82658287],0.8883836848145017,[0.56451613 0.57069672],0.5676064251718667,[0.79630487 0.81805966],0.8071822632660315
6,xgb,[0.92909091 0.93078324],0.9299370756747806,[0.74180328 0.72438525],0.733094262295082,[0.61386139 0.59574468],0.6048030334948389,[0.86710322 0.89226568],0.8796844482373313,[0.74180328 0.72438525],0.733094262295082,[0.81028556 0.85697729],0.8336314271224349
