,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.86731392 0.90938511],0.8883495145631068,[0.75610501 0.75004968],0.7530773440699912,[0.51764706 0.58823529],0.5529411764705882,[0.69756672 0.79200511],0.7447859122941177,[0.75610501 0.75004968],0.7530773440699912,[0.75610501 0.75004968],0.7530773440699912
1,rf,[0.93203883 0.92880259],0.93042071197411,[0.73244811 0.71437798],0.723413044185103,[0.61818182 0.59259259],0.6053872053872054,[0.9146098  0.93462933],0.9246195657737525,[0.73244811 0.71437798],0.723413044185103,[0.86314611 0.84330286],0.8532244874156639
2,log-reg,[0.90614887 0.90291262],0.9045307443365695,[0.63339438 0.60626987],0.619832128104187,[0.40816327 0.34782609],0.3779946761313221,[0.84069647 0.89611111],0.8684037884037884,[0.63339438 0.60626987],0.619832128104187,[0.80636956 0.82790143],0.8171354936060818
3,gb,[0.92880259 0.90614887],0.9174757281553398,[0.79090354 0.74821145],0.7695574938221997,[0.66666667 0.57971014],0.6231884057971014,[0.84157706 0.78181408],0.8116955701771411,[0.79090354 0.74821145],0.7695574938221997,[0.8462556  0.84971184],0.8479837202263673
4,mlp,[0.91585761 0.90614887],0.9110032362459547,[0.7232906  0.73653617],0.7299133834060305,[0.56666667 0.56716418],0.5669154228855721,[0.82083333 0.7844086 ],0.8026209677419355,[0.7232906  0.73653617],0.7299133834060305,[0.80433455 0.78676471],0.7955496301084537
5,svm,[0.89967638 0.89320388],0.8964401294498382,[0.56944444 0.55405405],0.5617492492492493,[0.24390244 0.19512195],0.21951219512195125,[0.94901316 0.94590164],0.9474573986194996,[0.56944444 0.55405405],0.5617492492492493,[0.7518315  0.84379968],0.797815591933239
6,xgb,[0.93851133 0.90614887],0.9223300970873787,[0.80845543 0.74821145],0.778333440098146,[0.70769231 0.57971014],0.643701226309922,[0.87333744 0.78181408],0.827575758923014,[0.80845543 0.74821145],0.778333440098146,[0.86106024 0.8373907 ],0.8492254677916442
