,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.9255814  0.92523364 0.92523364 0.92523364 0.92523364],0.9253031949576179,[0.5 0.5 0.5 0.5 0.5],0.5,[0. 0. 0. 0. 0.],0.0,[0.4627907  0.46261682 0.46261682 0.46261682 0.46261682],0.46265159747880896,[0.5 0.5 0.5 0.5 0.5],0.5,[0.70869975 0.70012626 0.75631313 0.66161616 0.76325758],0.71800257601137
1,rf,[0.93953488 0.94392523 0.96728972 0.94392523 0.94859813],0.9486546402955879,[0.67996231 0.65372475 0.78125    0.625      0.65625   ],0.6792374118065073,[0.48       0.45454545 0.72       0.4        0.47619048],0.5061471861471862,[0.80906149 0.89022436 0.98292683 0.97142857 0.97368421],0.9254650917741356,[0.67996231 0.65372475 0.78125    0.625      0.65625   ],0.6792374118065073,[0.85285804 0.8615846  0.92503157 0.86221591 0.9157197 ],0.8834819615755546
2,log-reg,[0.93488372 0.93925234 0.95327103 0.93457944 0.93457944],0.9393131927841774,[0.59123744 0.62247475 0.6875     0.5625     0.5625    ],0.6052424369321354,[0.3        0.38095238 0.54545455 0.22222222 0.22222222],0.3341702741702742,[0.84419431 0.87129187 0.97596154 0.96698113 0.96698113],0.9250819962874799,[0.59123744 0.62247475 0.6875     0.5625     0.5625    ],0.6052424369321354,[0.83762563 0.88352273 0.91161616 0.84911616 0.87847222],0.8720705801735953
3,gb,[0.9255814  0.92523364 0.92523364 0.92523364 0.92523364],0.9253031949576179,[0.5 0.5 0.5 0.5 0.5],0.5,[0. 0. 0. 0. 0.],0.0,[0.4627907  0.46261682 0.46261682 0.46261682 0.46261682],0.46265159747880896,[0.5 0.5 0.5 0.5 0.5],0.5,[0.25157035 0.79419192 0.5        0.6467803  0.5       ],0.5385085147962032
4,mlp,[0.93953488 0.94392523 0.95794393 0.94392523 0.94859813],0.9467854814170833,[0.62248744 0.65372475 0.71875    0.625      0.65625   ],0.6552424369321355,[0.38095238 0.45454545 0.60869565 0.4        0.47619048],0.46407679277244496,[0.87142857 0.89022436 0.97826087 0.97142857 0.97368421],0.9370053163846069,[0.62248744 0.65372475 0.71875    0.625      0.65625   ],0.6552424369321355,[0.72298995 0.86900253 0.9397096  0.84722222 0.84564394],0.8449136465154053
5,svm,[0.93953488 0.92990654 0.95794393 0.93925234 0.92990654],0.9393088459030645,[0.59375    0.55997475 0.71875    0.65119949 0.58869949],0.6224747474747474,[0.31578947 0.21052632 0.60869565 0.43478261 0.28571429],0.371101667211507,[0.96933962 0.80015798 0.97826087 0.83057281 0.76889952],0.8694461600909204,[0.59375    0.55997475 0.71875    0.65119949 0.58869949],0.6224747474747474,[0.82474874 0.86710859 0.91445707 0.82954545 0.86237374],0.8596467184406883
6,xgb,[0.93488372 0.94392523 0.96728972 0.93925234 0.94859813],0.9467898282981959,[0.61997487 0.65372475 0.80997475 0.65119949 0.65625   ],0.6782247728541698,[0.36363636 0.45454545 0.74074074 0.43478261 0.47619048],0.4939791287617374,[0.8046252  0.89022436 0.93976713 0.83057281 0.97368421],0.8877747414237392,[0.61997487 0.65372475 0.80997475 0.65119949 0.65625   ],0.6782247728541698,[0.81705402 0.8604798  0.95896465 0.88825758 0.93118687],0.8911885817978783
