,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.92741935 0.91935484 0.92741935 0.88617886 0.88617886],0.9093102543928666,[0.7        0.69541284 0.72874618 0.5        0.5       ],0.6248318042813455,[0.57142857 0.54545455 0.60869565 0.         0.        ],0.345115753811406,[0.96186441 0.89010989 0.90301724 0.44308943 0.44308943],0.7282340800114959,[0.7        0.69541284 0.72874618 0.5        0.5       ],0.6248318042813455,[0.77155963 0.79785933 0.74892966 0.82568807 0.75688073],0.7801834862385322
1,rf,[0.94354839 0.95967742 0.91935484 0.93495935 0.94308943],0.9401258851298191,[0.76666667 0.83333333 0.69541284 0.74541284 0.75      ],0.758165137614679,[0.69565217 0.8        0.54545455 0.63636364 0.66666667],0.6688274044795783,[0.96982759 0.97807018 0.89010989 0.90706522 0.96982759],0.9429800910707169,[0.76666667 0.83333333 0.69541284 0.74541284 0.75      ],0.758165137614679,[0.83272171 0.8764526  0.79785933 0.92169069 0.84436435],0.8546177370030581
2,log-reg,[0.88709677 0.90322581 0.89516129 0.91056911 0.88617886],0.8964463676894834,[0.53333333 0.6        0.56666667 0.60714286 0.5       ],0.5614285714285714,[0.125      0.33333333 0.23529412 0.35294118 0.        ],0.20931372549019608,[0.94308943 0.95041322 0.94672131 0.95416667 0.44308943],0.8474960126142381,[0.53333333 0.6        0.56666667 0.60714286 0.5       ],0.5614285714285714,[0.77920489 0.83730887 0.74250765 0.78636959 0.84796855],0.7986719091306247
3,gb,[0.87903226 0.92741935 0.88709677 0.93495935 0.88617886],0.9029373196957776,[0.5        0.7        0.53333333 0.74541284 0.5       ],0.5957492354740062,[0.         0.57142857 0.125      0.63636364 0.        ],0.26655844155844155,[0.43951613 0.96186441 0.94308943 0.90706522 0.44308943],0.7389249229983683,[0.5        0.7        0.53333333 0.74541284 0.5       ],0.5957492354740062,[0.5        0.84067278 0.72782875 0.84796855 0.85747051],0.754788117081695
4,mlp,[0.91935484 0.9516129  0.91129032 0.93495935 0.93495935],0.9304353527406242,[0.66666667 0.8        0.69082569 0.77653997 0.71428571],0.7296636085626911,[0.5        0.75       0.52173913 0.66666667 0.6       ],0.6076811594202899,[0.95798319 0.97391304 0.8362069  0.87345133 0.96581197],0.9214732853105779,[0.66666667 0.8        0.69082569 0.77653997 0.71428571],0.7296636085626911,[0.73761468 0.85443425 0.74984709 0.74049803 0.90104849],0.796688510266492
5,svm,[0.92741935 0.91129032 0.90322581 0.92682927 0.89430894],0.9126147390506162,[0.7        0.63333333 0.6        0.67857143 0.56684142],0.635749235474006,[0.57142857 0.42105263 0.33333333 0.52631579 0.23529412],0.4174848886923191,[0.96186441 0.95416667 0.95041322 0.96186441 0.78333333],0.9223284073399635,[0.7        0.63333333 0.6        0.67857143 0.56684142],0.635749235474006,[0.72232416 0.79143731 0.78042813 0.88597641 0.80471822],0.7969768457841853
6,xgb,[0.93548387 0.9516129  0.91129032 0.93495935 0.93495935],0.933661159192237,[0.73333333 0.8        0.69082569 0.74541284 0.71428571],0.736771515945828,[0.63636364 0.75       0.52173913 0.63636364 0.6       ],0.628893280632411,[0.96581197 0.97391304 0.8362069  0.90706522 0.96581197],0.9297618178090442,[0.73333333 0.8        0.69082569 0.74541284 0.71428571],0.736771515945828,[0.82752294 0.882263   0.7883792  0.93381389 0.8853211 ],0.8634600262123197
