,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.79534884 0.81308411 0.80841121 0.76168224 0.74766355],0.7852379917409259,[0.70512821 0.72333333 0.69760417 0.65979167 0.65427083],0.688025641025641,[0.86419753 0.87654321 0.87687688 0.84307692 0.83125   ],0.8583889081389081,[0.78034763 0.80804598 0.83439097 0.7247619  0.69799465],0.7691082280070425,[0.70512821 0.72333333 0.69760417 0.65979167 0.65427083],0.688025641025641,[0.79348718 0.77229167 0.78036458 0.71770833 0.73536458],0.7598432692307692
1,rf,[0.80465116 0.8364486  0.8364486  0.80373832 0.8411215 ],0.8244816344272984,[0.73794872 0.78479167 0.77135417 0.73458333 0.7746875 ],0.7606730769230768,[0.86624204 0.88673139 0.88888889 0.86624204 0.89240506],0.880101884039782,[0.77737924 0.81263579 0.82220161 0.77463415 0.8309488 ],0.8035599171399668,[0.73794872 0.78479167 0.77135417 0.73458333 0.7746875 ],0.7606730769230768,[0.86210256 0.91       0.83317708 0.85390625 0.884375  ],0.8687121794871796
2,log-reg,[0.84186047 0.8411215  0.8411215  0.81308411 0.80841121],0.8291197565746578,[0.78205128 0.77916667 0.76572917 0.73677083 0.72447917],0.7576394230769231,[0.89171975 0.89171975 0.89375    0.87421384 0.87227414],0.8847354940452055,[0.82879005 0.82682927 0.84104278 0.79412526 0.79307766],0.8167730031651367,[0.78205128 0.77916667 0.76572917 0.73677083 0.72447917],0.7576394230769231,[0.88302564 0.90197917 0.85625    0.85135417 0.87786458],0.8740947115384616
3,gb,[0.81395349 0.81308411 0.85046729 0.81308411 0.79906542],0.8179308845903066,[0.76205128 0.75020833 0.76791667 0.73229167 0.69541667],0.7415769230769231,[0.87012987 0.87179487 0.90123457 0.875      0.86930091],0.8774920443360159,[0.78369976 0.7851377  0.86954023 0.79812834 0.79944134],0.8071894740871896,[0.76205128 0.75020833 0.76791667 0.73229167 0.69541667],0.7415769230769231,[0.87461538 0.90734375 0.87213542 0.86208333 0.880625  ],0.8793605769230769
4,mlp,[0.80930233 0.8364486  0.8271028  0.80373832 0.81775701],0.8188698109106716,[0.74564103 0.7803125  0.74229167 0.725625   0.74010417],0.7467948717948718,[0.86900958 0.88745981 0.88544892 0.86792453 0.87774295],0.8775171566315022,[0.78256253 0.81536388 0.82792894 0.7802795  0.80309007],0.8018449860704837,[0.74564103 0.7803125  0.74229167 0.725625   0.74010417],0.7467948717948718,[0.87825641 0.89786458 0.863125   0.84494792 0.88276042],0.8733908653846154
5,svm,[0.83255814 0.82242991 0.8271028  0.80841121 0.8271028 ],0.8235209737013693,[0.76230769 0.76135417 0.74677083 0.72447917 0.74229167],0.7474407051282052,[0.88679245 0.87820513 0.8847352  0.87227414 0.88544892],0.8814911686476756,[0.82389818 0.79783951 0.82218142 0.79307766 0.82792894],0.8129851408842669,[0.76230769 0.76135417 0.74677083 0.72447917 0.74229167],0.7474407051282052,[0.89825641 0.87911458 0.8334375  0.83151042 0.85890625],0.8602450320512819
6,xgb,[0.80930233 0.8271028  0.8317757  0.84579439 0.81308411],0.8254118669854378,[0.73692308 0.7646875  0.75458333 0.78697917 0.714375  ],0.7515096153846155,[0.87066246 0.88178914 0.8875     0.89456869 0.87804878],0.8825138137063334,[0.78817365 0.80566582 0.82673797 0.83140864 0.82116105],0.8146294261969406,[0.73692308 0.7646875  0.75458333 0.78697917 0.714375  ],0.7515096153846155,[0.86558974 0.8978125  0.87286458 0.87114583 0.88421875],0.878326282051282
