,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.68548387 0.64516129 0.66935484 0.74796748 0.71544715],0.6926829268292682,[0.6796875  0.64375    0.66822917 0.74457097 0.71428571],0.6901046711057305,[0.60606061 0.62068966 0.64957265 0.71559633 0.69565217],0.6575142829987886,[0.7081448  0.64495798 0.66915423 0.7530137  0.71657754],0.6983696494332357,[0.6796875  0.64375    0.66822917 0.74457097 0.71428571],0.6901046711057305,[0.72174479 0.72916667 0.72604167 0.7925053  0.78214286],0.7503202557506053
1,rf,[0.71774194 0.75       0.69354839 0.7398374  0.75609756],0.7314450563860477,[0.71822917 0.74739583 0.69322917 0.73477225 0.75634921],0.729995123755717,[0.71544715 0.72072072 0.68333333 0.69230769 0.75409836],0.7131814522978057,[0.71805881 0.75517056 0.69322917 0.7525641  0.75621364],0.735047256480715,[0.71822917 0.74739583 0.69322917 0.73477225 0.75634921],0.729995123755717,[0.81848958 0.853125   0.77721354 0.85169492 0.84484127],0.8290728620191015
2,log-reg,[0.70967742 0.74193548 0.66935484 0.79674797 0.82113821],0.7477707841594545,[0.70989583 0.74010417 0.66927083 0.79277013 0.8202381 ],0.7464558111380144,[0.70491803 0.71929825 0.66115702 0.76635514 0.81034483],0.7324146541934863,[0.70967742 0.74391534 0.66913869 0.80708333 0.82262793],0.7504885444204193,[0.70989583 0.74010417 0.66927083 0.79277013 0.8202381 ],0.7464558111380144,[0.80833333 0.87005208 0.73567708 0.85990466 0.8792328 ],0.8306399930499506
3,gb,[0.75       0.78225806 0.69354839 0.78861789 0.74796748],0.7524783634933123,[0.75104167 0.78072917 0.6921875  0.78694386 0.74484127],0.7511486918213612,[0.752      0.76521739 0.67241379 0.77192982 0.7047619 ],0.7332645827462209,[0.75136897 0.78405797 0.69380252 0.78970588 0.76367521],0.7565221116128178,[0.75104167 0.78072917 0.6921875  0.78694386 0.74484127],0.7511486918213612,[0.83958333 0.85       0.79166667 0.83911547 0.83769841],0.8316127757600216
4,mlp,[0.69354839 0.76612903 0.64516129 0.78861789 0.79674797],0.7380409126671912,[0.6953125  0.76458333 0.64479167 0.78363347 0.79365079],0.736394353645413,[0.703125   0.74782609 0.63333333 0.75       0.76190476],0.7192378364389234,[0.69695378 0.76772069 0.64479167 0.80512821 0.81623932],0.7461667309317563,[0.6953125  0.76458333 0.64479167 0.78363347 0.79365079],0.736394353645413,[0.80390625 0.87369792 0.74296875 0.85421081 0.87156085],0.8292689136624519
5,svm,[0.72580645 0.71774194 0.66129032 0.74796748 0.78861789],0.7282848151062156,[0.72395833 0.71666667 0.659375   0.74457097 0.78690476],0.7262951472962065,[0.70175439 0.7008547  0.63157895 0.71559633 0.76785714],0.7035283014640812,[0.72751323 0.71785808 0.66190476 0.7530137  0.79374323],0.7308065989362816,[0.72395833 0.71666667 0.659375   0.74457097 0.78690476],0.7262951472962065,[0.81119792 0.83333333 0.71809896 0.82441737 0.84920635],0.8072507860842076
6,xgb,[0.71774194 0.71774194 0.70967742 0.74796748 0.76422764],0.7314712824547601,[0.71979167 0.715625   0.71041667 0.74589513 0.76349206],0.7310441047888081,[0.72868217 0.69026549 0.70967742 0.72566372 0.75213675],0.7212851091148099,[0.72239789 0.7200372  0.71041667 0.74919485 0.76475279],0.733359880215503,[0.71979167 0.715625   0.71041667 0.74589513 0.76349206],0.7310441047888081,[0.81328125 0.85104167 0.79804688 0.84785487 0.8494709 ],0.8319391128037843
