,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.72168285 0.70873786],0.7152103559870551,[0.72317534 0.70811321],0.7156442715588198,[0.72611465 0.69594595],0.7110302978137373,[0.72392677 0.70856795],0.7162473572815303,[0.72317534 0.70811321],0.7156442715588198,[0.72317534 0.70811321],0.7156442715588198
1,rf,[0.7184466  0.73139159],0.7249190938511327,[0.71958893 0.7308805 ],0.7252347146595755,[0.72025723 0.72053872],0.7203979776327043,[0.71982867 0.73122953],0.7255291005291005,[0.71958893 0.7308805 ],0.7252347146595755,[0.78043205 0.80779874],0.7941153945591153
2,log-reg,[0.69902913 0.77669903],0.7378640776699029,[0.69899329 0.77528302],0.7371381537292643,[0.6910299  0.75958188],0.7253058909326635,[0.69879316 0.77862417],0.7387086668567705,[0.69899329 0.77528302],0.7371381537292643,[0.79941275 0.84616352],0.8227881368452155
3,gb,[0.74433657 0.74110032],0.7427184466019418,[0.74458893 0.73974843],0.7421686769237263,[0.73927393 0.72222222],0.7307480748074808,[0.74428152 0.74230867],0.7432950975764883,[0.74458893 0.73974843],0.7421686769237263,[0.82925755 0.85054507],0.8399013118554163
4,mlp,[0.70550162 0.77669903],0.7411003236245954,[0.7059354  0.77490566],0.7404205315309611,[0.70163934 0.75618375],0.7289115449226671,[0.70569382 0.78009655],0.7428951820882935,[0.7059354  0.77490566],0.7404205315309611,[0.80901846 0.85366876],0.8313436097392821
5,svm,[0.68608414 0.70550162],0.6957928802588996,[0.68557047 0.70232704],0.6939487569119075,[0.67340067 0.66171004],0.6675553552876973,[0.68566392 0.71342326],0.6995435944184094,[0.68557047 0.70232704],0.6939487569119075,[0.76401007 0.78960168],0.7768058721314706
6,xgb,[0.70226537 0.74757282],0.7249190938511327,[0.7025797  0.74735849],0.7249690942763074,[0.69736842 0.74      ],0.7186842105263158,[0.70232509 0.74735849],0.7248417924133079,[0.7025797  0.74735849],0.7249690942763074,[0.79668624 0.82712788],0.8119070621051596
