,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.7761194  0.77570093],0.7759101687822569,[0.74607039 0.72891667],0.737493530020704,[0.83695652 0.84084881],0.8389026640525891,[0.73516423 0.73230837],0.7337362976036332,[0.74607039 0.72891667],0.737493530020704,[0.74607039 0.72891667],0.737493530020704
1,rf,[0.83395522 0.82990654],0.8319308829683358,[0.77854244 0.77295833],0.7757503881987577,[0.88545689 0.88288288],0.8841698841698842,[0.81218905 0.80631616],0.8092526091347773,[0.77854244 0.77295833],0.7757503881987577,[0.88327122 0.86814167],0.8757064440993789
2,log-reg,[0.83768657 0.82056075],0.8291236574138652,[0.78475362 0.75195833],0.7683559782608695,[0.88774194 0.87817259],0.8829572621581792,[0.81602941 0.80003374],0.808031575647764,[0.78475362 0.75195833],0.7683559782608695,[0.87751553 0.87336667],0.8754410973084886
3,gb,[0.80597015 0.80747664],0.806723392383875,[0.74436439 0.73725   ],0.7408071946169772,[0.86632391 0.86912325],0.8677235801569854,[0.775257  0.7809022],0.7780796016446793,[0.74436439 0.73725   ],0.7408071946169772,[0.86589648 0.84875   ],0.8573232401656314
4,mlp,[0.82462687 0.81121495],0.8179209094713349,[0.78073706 0.75783333],0.7692851966873706,[0.87664042 0.8686606 ],0.8726505090634802,[0.79394066 0.7784678 ],0.7862042261422433,[0.78073706 0.75783333],0.7692851966873706,[0.8790559 0.8598   ],0.8694279503105591
5,svm,[0.82462687 0.81308411],0.8188554889105872,[0.7506087 0.725125 ],0.737866847826087,[0.88190955 0.87623762],0.8790735857505348,[0.81251678 0.80583481],0.809175793521357,[0.7506087 0.725125 ],0.737866847826087,[0.86785921 0.85653333],0.8621962732919255
6,xgb,[0.80410448 0.81308411],0.8085942948807365,[0.75012008 0.752     ],0.7510600414078675,[0.86345904 0.8714653 ],0.8674621666705667,[0.76991135 0.7842319 ],0.7770716216926061,[0.75012008 0.752     ],0.7510600414078675,[0.86381781 0.85454167],0.8591797360248448
