,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.91943128 0.91904762 0.91904762 0.91904762 0.91904762],0.9191243511622658,[0.5 0.5 0.5 0.5 0.5],0.5,[0. 0. 0. 0. 0.],0.0,[0.45971564 0.45952381 0.45952381 0.45952381 0.45952381],0.4595621755811329,[0.5 0.5 0.5 0.5 0.5],0.5,[0.75682232 0.8442548  0.76333435 0.75937214 0.69369095],0.7634949113452336
1,rf,[0.9478673  0.93809524 0.95238095 0.94761905 0.95238095],0.9476686978108779,[0.70330503 0.64446815 0.70588235 0.73011277 0.70588235],0.6979301319373965,[0.56       0.43478261 0.58333333 0.59259259 0.58333333],0.5508083735909823,[0.91286946 0.8872549  0.97536946 0.8775     0.97536946],0.925672655269004,[0.70330503 0.64446815 0.70588235 0.73011277 0.70588235],0.6979301319373965,[0.87052759 0.87580006 0.83572082 0.8832673  0.82322463],0.8577080786911206
2,log-reg,[0.91943128 0.92857143 0.94285714 0.93333333 0.92380952],0.9296005416384563,[0.5        0.55882353 0.64705882 0.58823529 0.55623286],0.5700701005790918,[0.         0.21052632 0.45454545 0.3        0.2       ],0.23301435406698565,[0.45971564 0.96394231 0.97073171 0.96618357 0.79710145],0.8315349357948794,[0.5        0.55882353 0.64705882 0.58823529 0.55623286],0.5700701005790918,[0.82716798 0.85492228 0.84029259 0.77903078 0.85583664],0.8314500545156902
3,gb,[0.92890995 0.91904762 0.91904762 0.94285714 0.91904762],0.9257819905213271,[0.55882353 0.5        0.5        0.70070101 0.5       ],0.5519049070405364,[0.21052632 0.         0.         0.53846154 0.        ],0.14979757085020243,[0.96411483 0.45952381 0.45952381 0.86401327 0.45952381],0.6413399056211311,[0.55882353 0.5        0.5        0.70070101 0.5       ],0.5519049070405364,[0.75818678 0.2826882  0.53428833 0.78207863 0.45108199],0.5616647866347009
4,mlp,[0.9478673  0.94761905 0.94761905 0.94761905 0.93809524],0.945763935906116,[0.67647059 0.70329168 0.70329168 0.73011277 0.64446815],0.691526973483694,[0.52173913 0.56       0.56       0.59259259 0.43478261],0.5338228663446055,[0.97317073 0.91274752 0.91274752 0.8775     0.8872549 ],0.9126841366346102,[0.67647059 0.70329168 0.70329168 0.73011277 0.64446815],0.691526973483694,[0.79472408 0.90246876 0.8442548  0.78390735 0.83541603],0.8321542024213135
5,svm,[0.93838863 0.92857143 0.94285714 0.94285714 0.92380952],0.9352967727375312,[0.61764706 0.55882353 0.67387991 0.67387991 0.52941176],0.6107284364523011,[0.38095238 0.21052632 0.5        0.5        0.11111111],0.34051796157059316,[0.96859903 0.96394231 0.90147783 0.90147783 0.96172249],0.939443898914328,[0.61764706 0.55882353 0.67387991 0.67387991 0.52941176],0.6107284364523011,[0.77228623 0.86162755 0.87625724 0.85004572 0.80310881],0.8326651102725157
6,xgb,[0.9478673  0.94285714 0.95238095 0.94761905 0.95238095],0.9486210787632589,[0.67647059 0.67387991 0.70588235 0.73011277 0.70588235],0.6984455958549223,[0.52173913 0.5        0.58333333 0.59259259 0.58333333],0.5561996779388084,[0.97317073 0.90147783 0.97536946 0.8775     0.97536946],0.9405774960951578,[0.67647059 0.67387991 0.70588235 0.73011277 0.70588235],0.6984455958549223,[0.84596725 0.86528497 0.84455959 0.89515392 0.81133801],0.8524607471320348
