,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.91943128 0.91904762 0.91904762 0.91904762 0.91904762],0.9191243511622658,[0.5 0.5 0.5 0.5 0.5],0.5,[0. 0. 0. 0. 0.],0.0,[0.45971564 0.45952381 0.45952381 0.45952381 0.45952381],0.4595621755811329,[0.5 0.5 0.5 0.5 0.5],0.5,[0.75682232 0.8442548  0.76333435 0.75937214 0.69369095],0.7634949113452336
1,rf,[0.93838863 0.93809524 0.95238095 0.94761905 0.95238095],0.9457729632137216,[0.67131595 0.67128924 0.70588235 0.73011277 0.70588235],0.6968965333048448,[0.48       0.48       0.58333333 0.59259259 0.58333333],0.5438518518518519,[0.8479064  0.84777228 0.97536946 0.8775     0.97536946],0.9047835194849533,[0.67131595 0.67128924 0.70588235 0.73011277 0.70588235],0.6968965333048448,[0.87022438 0.89713502 0.85507467 0.9017068  0.84730265],0.8742887037834203
2,log-reg,[0.92890995 0.93809524 0.94285714 0.94285714 0.92380952],0.9353058000451366,[0.66616131 0.61764706 0.70070101 0.67387991 0.58305395],0.6482886472253556,[0.44444444 0.38095238 0.53846154 0.5        0.27272727],0.42731712731712734,[0.77263682 0.9684466  0.86401327 0.90147783 0.76585366],0.8544856351818775,[0.66616131 0.61764706 0.70070101 0.67387991 0.58305395],0.6482886472253556,[0.87674348 0.85675099 0.82413898 0.82017678 0.85065529],0.8456931033724316
3,gb,[0.94312796 0.92857143 0.92380952 0.93333333 0.92380952],0.9305303543218237,[0.67389327 0.58564462 0.55623286 0.61505639 0.52941176],0.5920477789962201,[0.5        0.28571429 0.2        0.36363636 0.11111111],0.29209235209235207,[0.90161064 0.84101942 0.79710145 0.86829268 0.96172249],0.8739493363947799,[0.67389327 0.58564462 0.55623286 0.61505639 0.52941176],0.5920477789962201,[0.76243178 0.87473331 0.81956721 0.78908869 0.83633039],0.8164302749036156
4,mlp,[0.93364929 0.95238095 0.94761905 0.94761905 0.93809524],0.9438727149627624,[0.66873863 0.73270344 0.70329168 0.73011277 0.64446815],0.6958629346722931,[0.46153846 0.61538462 0.56       0.59259259 0.43478261],0.5328596556422645,[0.80610561 0.92205638 0.91274752 0.8775     0.8872549 ],0.8811328844034534,[0.66873863 0.73270344 0.70329168 0.73011277 0.64446815],0.6958629346722931,[0.81200728 0.91054557 0.8422737  0.7868028  0.84074977],0.8384758229983944
5,svm,[0.93838863 0.92857143 0.94285714 0.93809524 0.92380952],0.9343443917851502,[0.61764706 0.55882353 0.70070101 0.67128924 0.52941176],0.6155745199634257,[0.38095238 0.21052632 0.53846154 0.48       0.11111111],0.3442102692629009,[0.96859903 0.96394231 0.86401327 0.84777228 0.96172249],0.9212098747546149,[0.61764706 0.55882353 0.70070101 0.67128924 0.52941176],0.6155745199634257,[0.78759854 0.87305699 0.85995123 0.87473331 0.81194758],0.8414575327486904
6,xgb,[0.9478673  0.95238095 0.95714286 0.94761905 0.95238095],0.9514782216204016,[0.70330503 0.70588235 0.73529412 0.73011277 0.70588235],0.7160953254759518,[0.56       0.58333333 0.64       0.59259259 0.58333333],0.591851851851852,[0.91286946 0.97536946 0.97772277 0.8775     0.97536946],0.9437662293322928,[0.70330503 0.70588235 0.73529412 0.73011277 0.70588235],0.7160953254759518,[0.86218921 0.87823834 0.85873209 0.88296251 0.8093569 ],0.8582958112468854
