,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.95238095 0.88888889],0.9206349206349206,[0.81       0.61142857],0.7107142857142857,[0.66666667 0.27586207],0.47126436781609193,[0.8319493 0.6045977],0.7182735009243629,[0.81       0.61142857],0.7107142857142857,[0.81       0.61142857],0.7107142857142856
1,rf,[0.93650794 0.94179894],0.9391534391534391,[0.63714286 0.60714286],0.6221428571428571,[0.4        0.35294118],0.3764705882352941,[0.80601093 0.97043011],0.8882205182443152,[0.63714286 0.60714286],0.6221428571428571,[0.84938776 0.74469388],0.7970408163265306
2,log-reg,[0.94179894 0.93121693],0.9365079365079365,[0.64       0.56857143],0.6042857142857143,[0.42105263 0.23529412],0.32817337461300305,[0.87282609 0.80107527],0.836950677886863,[0.64       0.56857143],0.6042857142857143,[0.73591837 0.80489796],0.7704081632653061
3,gb,[0.92063492 0.91534392],0.9179894179894179,[0.53       0.62571429],0.5778571428571428,[0.11764706 0.33333333],0.22549019607843135,[0.63172043 0.67206704],0.6518937346068361,[0.53       0.62571429],0.5778571428571428,[0.22387755 0.65      ],0.4369387755102041
4,mlp,[0.93650794 0.94179894],0.9391534391534391,[0.73571429 0.64      ],0.687857142857143,[0.53846154 0.42105263],0.47975708502024283,[0.77189266 0.87282609],0.8223593711618766,[0.73571429 0.64      ],0.687857142857143,[0.77591837 0.78489796],0.7804081632653062
5,svm,[0.92592593 0.92592593],0.9259259259259259,[0.5 0.5],0.5,[0. 0.],0.0,[0.46296296 0.46296296],0.46296296296296297,[0.5 0.5],0.5,[0.81469388 0.82244898],0.8185714285714285
6,xgb,[0.95767196 0.94179894],0.9497354497354498,[0.84571429 0.60714286],0.7264285714285714,[0.71428571 0.35294118],0.5336134453781513,[0.84571429 0.97043011],0.9080721966205837,[0.84571429 0.60714286],0.7264285714285714,[0.83755102 0.73510204],0.7863265306122449
