,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.96052632 0.97368421 0.94736842 0.93333333 0.93333333],0.9496491228070175,[0.75       0.83333333 0.66666667 0.5        0.5       ],0.65,[0.66666667 0.8        0.5        0.         0.        ],0.39333333333333337,[0.97945205 0.98611111 0.97297297 0.46666667 0.46666667],0.7743738944423877,[0.75       0.83333333 0.66666667 0.5        0.5       ],0.65,[0.81666667 0.91666667 0.65714286 0.66571429 0.65857143],0.7429523809523809
1,rf,[0.96052632 0.97368421 0.94736842 0.96       0.97333333],0.9629824561403508,[0.82619048 0.83333333 0.66666667 0.7        0.8       ],0.7652380952380952,[0.72727273 0.8        0.5        0.57142857 0.75      ],0.6697402597402597,[0.88591549 0.98611111 0.97297297 0.97945205 0.98611111],0.9621125485894926,[0.82619048 0.83333333 0.66666667 0.7        0.8       ],0.7652380952380952,[0.87857143 0.85238095 0.825      0.87142857 0.78857143],0.8431904761904763
2,log-reg,[0.92105263 0.92105263 0.92105263 0.93333333 0.94666667],0.9286315789473683,[0.5 0.5 0.5 0.5 0.6],0.52,[0.         0.         0.         0.         0.33333333],0.06666666666666668,[0.46052632 0.46052632 0.46052632 0.46666667 0.97297297],0.5642437174016122,[0.5 0.5 0.5 0.5 0.6],0.52,[0.69285714 0.85238095 0.94047619 0.70285714 0.85714286],0.8091428571428573
3,gb,[0.94736842 0.98684211 0.92105263 0.93333333 0.93333333],0.9443859649122807,[0.74285714 0.91666667 0.5        0.5        0.5       ],0.631904761904762,[0.6        0.90909091 0.         0.         0.        ],0.3018181818181818,[0.85416667 0.99295775 0.46052632 0.46666667 0.46666667],0.6481968124536694,[0.74285714 0.91666667 0.5        0.5        0.5       ],0.631904761904762,[0.6        0.87619048 0.36666667 0.83428571 0.72571429],0.6805714285714286
4,mlp,[0.93421053 0.94736842 0.94736842 0.94666667 0.96      ],0.9471228070175439,[0.73571429 0.66666667 0.66666667 0.6        0.7       ],0.6738095238095237,[0.54545455 0.5        0.5        0.33333333 0.57142857],0.4900432900432901,[0.77887324 0.97297297 0.97297297 0.97297297 0.97945205],0.9354488426300117,[0.73571429 0.66666667 0.66666667 0.6        0.7       ],0.6738095238095237,[0.88571429 0.84285714 0.85714286 0.74571429 0.80285714],0.8268571428571428
5,svm,[0.94736842 0.94736842 0.94736842 0.90666667 0.94666667],0.9390877192982456,[0.66666667 0.66666667 0.66666667 0.57857143 0.6       ],0.6357142857142858,[0.5        0.5        0.5        0.22222222 0.33333333],0.41111111111111115,[0.97297297 0.97297297 0.97297297 0.59683099 0.97297297],0.897744575561477,[0.66666667 0.66666667 0.66666667 0.57857143 0.6       ],0.6357142857142858,[0.84047619 0.79761905 0.91190476 0.82       0.80285714],0.8345714285714285
6,xgb,[0.93421053 0.97368421 0.94736842 0.93333333 0.96      ],0.949719298245614,[0.81190476 0.83333333 0.66666667 0.5        0.7       ],0.7023809523809523,[0.61538462 0.8        0.5        0.         0.57142857],0.49736263736263736,[0.77122153 0.98611111 0.97297297 0.46666667 0.97945205],0.8352848675272737,[0.81190476 0.83333333 0.66666667 0.5        0.7       ],0.7023809523809523,[0.9047619  0.90238095 0.73095238 0.88       0.81714286],0.847047619047619
