,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.8875 0.9    0.8875 0.8875 0.8875],0.89,[0.54861111 0.5        0.5        0.5970266  0.5       ],0.5291275430359937,[0.18181818 0.         0.         0.30769231 0.        ],0.09790209790209789,[0.62121212 0.45       0.44375    0.70394737 0.44375   ],0.5325318979266348,[0.54861111 0.5        0.5        0.5970266  0.5       ],0.5291275430359937,[0.56336806 0.84375    0.58528951 0.66744914 0.73317684],0.6786067097026605
1,rf,[0.925  0.95   0.9125 0.925  0.925 ],0.9275,[0.625      0.75       0.61111111 0.71517997 0.66666667],0.6735915492957746,[0.4        0.66666667 0.36363636 0.57142857 0.5       ],0.5003463203463203,[0.96153846 0.97368421 0.95512821 0.86666667 0.96103896],0.943611300979722,[0.625      0.75       0.61111111 0.71517997 0.66666667],0.6735915492957746,[0.765625   0.93402778 0.82394366 0.77073552 0.92018779],0.8429039514866978
2,log-reg,[0.9375 0.9125 0.875  0.925  0.9   ],0.9100000000000001,[0.6875     0.5625     0.49295775 0.66666667 0.55555556],0.5930359937402191,[0.54545455 0.22222222 0.         0.5        0.2       ],0.29353535353535354,[0.96753247 0.9556962  0.44303797 0.96103896 0.94936709],0.8553345388788427,[0.6875     0.5625     0.49295775 0.66666667 0.55555556],0.5930359937402191,[0.82638889 0.91666667 0.71517997 0.76995305 0.90766823],0.8271713615023474
3,gb,[0.9125 0.9    0.8875 0.8875 0.8875],0.8950000000000001,[0.5625 0.5    0.5    0.5    0.5   ],0.5125,[0.22222222 0.         0.         0.         0.        ],0.04444444444444444,[0.9556962 0.45      0.44375   0.44375   0.44375  ],0.5473892405063292,[0.5625 0.5    0.5    0.5    0.5   ],0.5125,[0.59548611 0.5546875  0.54773083 0.75899844 0.5       ],0.5913805751173709
4,mlp,[0.9125 0.95   0.9125 0.925  0.925 ],0.925,[0.61805556 0.80555556 0.61111111 0.66666667 0.66666667],0.673611111111111,[0.36363636 0.71428571 0.36363636 0.5        0.5       ],0.4883116883116883,[0.79437229 0.8963964  0.95512821 0.96103896 0.96103896],0.9135949635949636,[0.61805556 0.80555556 0.61111111 0.66666667 0.66666667],0.673611111111111,[0.72743056 0.93402778 0.74804382 0.91549296 0.91862285],0.8487235915492957
5,svm,[0.9375 0.9375 0.9    0.9    0.9125],0.9174999999999999,[0.6875     0.6875     0.55555556 0.65258216 0.61111111],0.638849765258216,[0.54545455 0.54545455 0.2        0.42857143 0.36363636],0.4166233766233766,[0.96753247 0.96753247 0.94936709 0.76       0.95512821],0.9199120457601471,[0.6875     0.6875     0.55555556 0.65258216 0.61111111],0.638849765258216,[0.85069444 0.91493056 0.82629108 0.8028169  0.89984351],0.8589152973395929
6,xgb,[0.9125 0.9625 0.9    0.925  0.9375],0.9275,[0.5625     0.8125     0.55555556 0.71517997 0.72222222],0.6735915492957747,[0.22222222 0.76923077 0.2        0.57142857 0.61538462],0.47565323565323564,[0.9556962  0.98       0.94936709 0.86666667 0.96710526],0.9437670441927605,[0.5625     0.8125     0.55555556 0.71517997 0.72222222],0.6735915492957747,[0.75173611 0.93576389 0.84194053 0.78403756 0.92097027],0.8468896713615024
