,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.84821429 0.83856502],0.8433896540679051,[0.69621749 0.72430184],0.7102596680193676,[0.5        0.52631579],0.513157894736842,[0.71614583 0.70628415],0.7112149931693988,[0.69621749 0.72430184],0.7102596680193676,[0.69621749 0.72430184],0.7102596680193677
1,rf,[0.90625   0.9058296],0.906039798206278,[0.71956265 0.7531937 ],0.7363781747386253,[0.60377358 0.6440678 ],0.6239206907579149,[0.92227906 0.87054348],0.8964112674055129,[0.71956265 0.7531937 ],0.7363781747386253,[0.8250591  0.83563577],0.8303474355570726
2,log-reg,[0.88392857 0.88340807],0.8836683215887251,[0.67257683 0.65010398],0.6613404065688171,[0.5        0.45833333],0.47916666666666663,[0.85096154 0.89909163],0.8750265828168671,[0.67257683 0.65010398],0.6613404065688171,[0.77881206 0.80496138],0.7918867176141895
3,gb,[0.91517857 0.91479821],0.9149883888532991,[0.79225768 0.79218657],0.7922221274067331,[0.6984127 0.6984127],0.6984126984126984,[0.87187441 0.87169312],0.8717837670883356,[0.79225768 0.79218657],0.7922221274067331,[0.85239362 0.88554664],0.8689701299604303
4,mlp,[0.88839286 0.9058296 ],0.8971112267777066,[0.66400709 0.73076352],0.6973853048634024,[0.48979592 0.61818182],0.5539888682745826,[0.90466642 0.90079979],0.9027331086127104,[0.66400709 0.73076352],0.6973853048634024,[0.76950355 0.81773619],0.7936198657412674
5,svm,[0.86160714 0.86098655],0.8612968449711724,[0.58067376 0.58065954],0.5806666477035689,[0.27906977 0.27906977],0.27906976744186046,[0.859447   0.85912698],0.8592869943676396,[0.58067376 0.58065954],0.5806666477035689,[0.82239953 0.80451575],0.8134576364394888
6,xgb,[0.90625    0.90134529],0.9037976457399104,[0.74202128 0.77295009],0.7574856828611523,[0.63157895 0.65625   ],0.6439144736842104,[0.88423645 0.83653846],0.8603874573702159,[0.74202128 0.77295009],0.7574856828611523,[0.83141253 0.83452169],0.8329671085068456
