,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.96052632 0.97368421 0.94736842 0.93333333 0.93333333],0.9496491228070175,[0.75       0.83333333 0.66666667 0.5        0.5       ],0.65,[0.66666667 0.8        0.5        0.         0.        ],0.39333333333333337,[0.97945205 0.98611111 0.97297297 0.46666667 0.46666667],0.7743738944423877,[0.75       0.83333333 0.66666667 0.5        0.5       ],0.65,[0.81666667 0.91666667 0.65714286 0.66571429 0.65857143],0.7429523809523809
1,rf,[0.93421053 0.98684211 0.94736842 0.93333333 0.97333333],0.9550175438596492,[0.81190476 0.91666667 0.66666667 0.68571429 0.8       ],0.7761904761904761,[0.61538462 0.90909091 0.5        0.44444444 0.75      ],0.6437839937839938,[0.77122153 0.99295775 0.97297297 0.72887324 0.98611111],0.8904273204181351,[0.81190476 0.91666667 0.66666667 0.68571429 0.8       ],0.7761904761904761,[0.85714286 0.85833333 0.78571429 0.76428571 0.76428571],0.805952380952381
2,log-reg,[0.93421053 0.92105263 0.93421053 0.93333333 0.94666667],0.9338947368421051,[0.81190476 0.57619048 0.58333333 0.59285714 0.6       ],0.6328571428571429,[0.61538462 0.25       0.28571429 0.28571429 0.33333333],0.354029304029304,[0.77122153 0.71621622 0.96666667 0.72260274 0.97297297],0.8299360255345961,[0.81190476 0.57619048 0.58333333 0.59285714 0.6       ],0.6328571428571429,[0.775     0.825     0.9047619 0.64      0.83     ],0.7949523809523809
3,gb,[0.92105263 0.96052632 0.93421053 0.93333333 0.93333333],0.9364912280701756,[0.5        0.75       0.58333333 0.5        0.5       ],0.5666666666666667,[0.         0.66666667 0.28571429 0.         0.        ],0.19047619047619047,[0.46052632 0.97945205 0.96666667 0.46666667 0.46666667],0.6679956741167989,[0.5        0.75       0.58333333 0.5        0.5       ],0.5666666666666667,[0.84285714 0.87738095 0.58333333 0.72285714 0.45714286],0.6967142857142858
4,mlp,[0.92105263 0.96052632 0.93421053 0.94666667 0.96      ],0.9444912280701754,[0.72857143 0.75       0.65952381 0.6        0.7       ],0.6876190476190477,[0.5        0.66666667 0.44444444 0.33333333 0.57142857],0.5031746031746032,[0.72857143 0.97945205 0.80593607 0.97297297 0.97945205],0.8932769168385606,[0.72857143 0.75       0.65952381 0.6        0.7       ],0.6876190476190477,[0.85714286 0.86666667 0.84166667 0.70571429 0.82428571],0.8190952380952382
5,svm,[0.94736842 0.94736842 0.94736842 0.89333333 0.96      ],0.9390877192982456,[0.74285714 0.66666667 0.66666667 0.57142857 0.7       ],0.6695238095238094,[0.6        0.5        0.5        0.2        0.57142857],0.4742857142857143,[0.85416667 0.97297297 0.97297297 0.57142857 0.97945205],0.8701986477671408,[0.74285714 0.66666667 0.66666667 0.57142857 0.7       ],0.6695238095238094,[0.83809524 0.78809524 0.89761905 0.78285714 0.83857143],0.8290476190476191
6,xgb,[0.92105263 0.97368421 0.94736842 0.93333333 0.96      ],0.9470877192982456,[0.8047619  0.83333333 0.66666667 0.5        0.7       ],0.700952380952381,[0.57142857 0.8        0.5        0.         0.57142857],0.4885714285714286,[0.73529412 0.98611111 0.97297297 0.46666667 0.97945205],0.8280993846384661,[0.8047619  0.83333333 0.66666667 0.5        0.7       ],0.700952380952381,[0.91428571 0.90119048 0.63571429 0.77571429 0.74285714],0.793952380952381
