,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.9  0.88],0.89,[0.69193935 0.63381001],0.6628746778925676,[0.47368421 0.36842105],0.42105263157894735,[0.731919   0.67798913],0.7049540637709111,[0.69193935 0.63381001],0.6628746778925676,[0.69193935 0.63381001],0.6628746778925676
1,rf,[0.915 0.925],0.92,[0.63727055 0.65909091],0.6481807298846405,[0.4137931  0.48275862],0.4482758620689655,[0.8359375 0.9611399],0.8985386981865284,[0.63727055 0.65909091],0.6481807298846405,[0.81471136 0.82162921],0.8181702864436214
2,log-reg,[0.92  0.915],0.9175,[0.64006385 0.61363636],0.6268501052020605,[0.42857143 0.37037037],0.3994708994708994,[0.88971132 0.95641026],0.9230607906773709,[0.64006385 0.61363636],0.6268501052020605,[0.82122905 0.81460674],0.8179178959261816
3,gb,[0.915 0.91 ],0.9125000000000001,[0.5952381  0.69050051],0.6428693029816626,[0.32 0.5 ],0.41000000000000003,[0.95663265 0.78648233],0.8715574939653281,[0.5952381  0.69050051],0.6428693029816626,[0.6358074  0.79545455],0.7156309705192386
4,mlp,[0.895 0.905],0.9,[0.75219473 0.62793667],0.6900657013565807,[0.53333333 0.38709677],0.46021505376344085,[0.72443182 0.79144852],0.7579401673806123,[0.75219473 0.62793667],0.6900657013565807,[0.80074488 0.75229826],0.7765215712456939
5,svm,[0.895 0.9  ],0.8975,[0.5        0.58529111],0.5426455566905005,[0.         0.28571429],0.14285714285714288,[0.4475     0.78694158],0.6172207903780069,[0.5        0.58529111],0.5426455566905005,[0.84836393 0.86389173],0.8561278264137469
6,xgb,[0.915 0.925],0.92,[0.70031923 0.69892748],0.6996233554280757,[0.51428571 0.54545455],0.5298701298701299,[0.78917051 0.87469937],0.8319349408059086,[0.70031923 0.69892748],0.6996233554280757,[0.84038308 0.81958631],0.8299846965851925
