,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.9        0.88888889 0.93258427 0.8988764  0.8988764 ],0.9038451935081149,[0.7        0.66666667 0.8147619  0.70761905 0.70761905],0.7193333333333334,[0.57142857 0.5        0.75       0.57142857 0.57142857],0.5928571428571429,[0.94642857 0.94117647 0.91835443 0.87979094 0.87979094],0.913108270785931,[0.7        0.66666667 0.8147619  0.70761905 0.70761905],0.7193333333333334,[0.74711111 0.82844444 0.83047619 0.75809524 0.82095238],0.7970158730158731
1,rf,[0.91111111 0.9        0.93258427 0.8988764  0.87640449],0.9037952559300875,[0.78666667 0.72666667 0.8147619  0.70761905 0.6652381 ],0.7401904761904762,[0.69230769 0.60869565 0.75       0.57142857 0.47619048],0.6197244784201306,[0.87111623 0.88871951 0.91835443 0.87979094 0.80226481],0.8720491834500788,[0.78666667 0.72666667 0.8147619  0.70761905 0.6652381 ],0.7401904761904762,[0.81333333 0.92044444 0.83952381 0.96       0.79761905],0.8661841269841271
2,log-reg,[0.91111111 0.88888889 0.92134831 0.8988764  0.84269663],0.8925842696629213,[0.73333333 0.66666667 0.75       0.67857143 0.55809524],0.6773333333333332,[0.63636364 0.5        0.66666667 0.52631579 0.22222222],0.5103136629452418,[0.95180723 0.94117647 0.95731707 0.94642857 0.67941176],0.8952282217618167,[0.73333333 0.66666667 0.75       0.67857143 0.55809524],0.6773333333333332,[0.66844444 0.83511111 0.82571429 0.90809524 0.75142857],0.7977587301587301
3,gb,[0.9        0.88888889 0.93258427 0.8988764  0.86516854],0.8971036204744068,[0.72666667 0.66666667 0.8147619  0.70761905 0.65857143],0.7148571428571427,[0.60869565 0.5        0.75       0.57142857 0.45454545],0.5769339356295877,[0.88871951 0.94117647 0.91835443 0.87979094 0.75694444],0.87699715967482,[0.72666667 0.66666667 0.8147619  0.70761905 0.65857143],0.7148571428571427,[0.74755556 0.88133333 0.84285714 0.92285714 0.81285714],0.8414920634920635
4,mlp,[0.86666667 0.88888889 0.92134831 0.87640449 0.87640449],0.8859425717852684,[0.68       0.69333333 0.75       0.6652381  0.60714286],0.679142857142857,[0.5        0.54545455 0.66666667 0.47619048 0.35294118],0.5082505729564553,[0.77777778 0.87435456 0.95731707 0.80226481 0.93604651],0.869552146408067,[0.68       0.69333333 0.75       0.6652381  0.60714286],0.679142857142857,[0.71688889 0.872      0.90238095 0.84238095 0.78571429],0.8238730158730159
5,svm,[0.85555556 0.84444444 0.91011236 0.8988764  0.82022472],0.8658426966292134,[0.67333333 0.56       0.74333333 0.73666667 0.60285714],0.6632380952380952,[0.48       0.22222222 0.63636364 0.60869565 0.33333333],0.456122968818621,[0.74375    0.75862069 0.89429012 0.84513889 0.63670886],0.775701712552069,[0.67333333 0.56       0.74333333 0.73666667 0.60285714],0.6632380952380952,[0.77733333 0.83688889 0.90809524 0.91095238 0.72047619],0.8307492063492063
6,xgb,[0.88888889 0.91111111 0.94382022 0.88764045 0.91011236],0.9083146067415729,[0.74666667 0.73333333 0.82142857 0.70095238 0.71428571],0.7433333333333334,[0.61538462 0.63636364 0.7826087  0.54545455 0.6       ],0.6359622985709942,[0.81933257 0.95180723 0.96875    0.82561728 0.95180723],0.9034628615899905,[0.74666667 0.73333333 0.82142857 0.70095238 0.71428571],0.7433333333333334,[0.79155556 0.90266667 0.89761905 0.89047619 0.81809524],0.8600825396825396
