,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.9        0.88888889 0.93258427 0.8988764  0.8988764 ],0.9038451935081149,[0.7        0.66666667 0.8147619  0.70761905 0.70761905],0.7193333333333334,[0.57142857 0.5        0.75       0.57142857 0.57142857],0.5928571428571429,[0.94642857 0.94117647 0.91835443 0.87979094 0.87979094],0.913108270785931,[0.7        0.66666667 0.8147619  0.70761905 0.70761905],0.7193333333333334,[0.74711111 0.82844444 0.83047619 0.75809524 0.82095238],0.7970158730158731
1,rf,[0.87777778 0.9        0.94382022 0.8988764  0.88764045],0.9016229712858926,[0.68666667 0.7        0.82142857 0.70761905 0.70095238],0.7233333333333333,[0.52173913 0.57142857 0.7826087  0.57142857 0.54545455],0.5985319028797289,[0.82012195 0.94642857 0.96875    0.87979094 0.82561728],0.8881417494730502,[0.68666667 0.7        0.82142857 0.70761905 0.70095238],0.7233333333333333,[0.81511111 0.92311111 0.84       0.97428571 0.77904762],0.866311111111111
2,log-reg,[0.9        0.85555556 0.91011236 0.86516854 0.85393258],0.8769538077403245,[0.7        0.56666667 0.71428571 0.57142857 0.5647619 ],0.6234285714285714,[0.57142857 0.23529412 0.6        0.25       0.23529412],0.3784033613445378,[0.94642857 0.92613636 0.95180723 0.93103448 0.76356589],0.9037945076424172,[0.7        0.56666667 0.71428571 0.57142857 0.5647619 ],0.6234285714285714,[0.68       0.82755556 0.83714286 0.90190476 0.74571429],0.798463492063492
3,gb,[0.91111111 0.85555556 0.93258427 0.87640449 0.8988764 ],0.8949063670411984,[0.73333333 0.59333333 0.78571429 0.60714286 0.67857143],0.6796190476190477,[0.63636364 0.31578947 0.72727273 0.35294118 0.52631579],0.5117365606529692,[0.95180723 0.80523256 0.96296296 0.93604651 0.94642857],0.9204955666149278,[0.73333333 0.59333333 0.78571429 0.60714286 0.67857143],0.6796190476190477,[0.76266667 0.88533333 0.86095238 0.93238095 0.83714286],0.8556952380952382
4,mlp,[0.86666667 0.91111111 0.84269663 0.83146067 0.87640449],0.8656679151061173,[0.65333333 0.76       0.5        0.49333333 0.60714286],0.6027619047619048,[0.45454545 0.66666667 0.         0.         0.35294118],0.29483065953654186,[0.79690189 0.90123457 0.42134831 0.42045455 0.93604651],0.6951971665755727,[0.65333333 0.76       0.5        0.49333333 0.60714286],0.6027619047619048,[0.728      0.88533333 0.85619048 0.79047619 0.81809524],0.8156190476190476
5,svm,[0.88888889 0.85555556 0.88764045 0.91011236 0.83146067],0.8747315855181024,[0.66666667 0.56666667 0.64285714 0.71428571 0.52238095],0.6225714285714286,[0.5        0.23529412 0.44444444 0.6        0.11764706],0.3794771241830065,[0.94117647 0.92613636 0.94117647 0.95180723 0.59108527],0.8702763610092653,[0.66666667 0.56666667 0.64285714 0.71428571 0.52238095],0.6225714285714286,[0.79911111 0.84444444 0.89619048 0.92380952 0.73714286],0.8401396825396826
6,xgb,[0.9        0.91111111 0.94382022 0.8988764  0.91011236],0.9127840199750311,[0.72666667 0.73333333 0.82142857 0.70761905 0.71428571],0.7406666666666666,[0.60869565 0.63636364 0.7826087  0.57142857 0.6       ],0.639819311123659,[0.88871951 0.95180723 0.96875    0.87979094 0.95180723],0.9281749821585997,[0.72666667 0.73333333 0.82142857 0.70761905 0.71428571],0.7406666666666666,[0.77777778 0.89244444 0.86380952 0.92190476 0.79428571],0.8500444444444446
