,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.74556213 0.76627219 0.73668639 0.78994083 0.7537092 ],0.758434147454919,[0.69609375 0.71733631 0.6828497  0.74401042 0.69848983],0.7077560022214626,[0.81465517 0.83010753 0.81023454 0.84665227 0.82377919],0.8250857403795717,[0.74704724 0.77602173 0.74021309 0.80499884 0.77022901],0.7677019823033777,[0.69609375 0.71733631 0.6828497  0.74401042 0.69848983],0.7077560022214626,[0.75920759 0.7984561  0.75680804 0.78675595 0.7806706 ],0.7763796565276827
1,rf,[0.78994083 0.80769231 0.78698225 0.81952663 0.8041543 ],0.8016592629009885,[0.76994048 0.78422619 0.76450893 0.7952753  0.77700733],0.7781916438824334,[0.83449883 0.85057471 0.83333333 0.8604119  0.84931507],0.8456267696564996,[0.7784237  0.80049164 0.77609506 0.81499782 0.79963206],0.7939280547491373,[0.76994048 0.78422619 0.76450893 0.7952753  0.77700733],0.7781916438824334,[0.86112351 0.890625   0.85920759 0.89261533 0.8755794 ],0.8758301649008885
2,log-reg,[0.78994083 0.78402367 0.79585799 0.81952663 0.78931751],0.7957333239688865,[0.76536458 0.76822917 0.76707589 0.7952753  0.76655951],0.7725008900091137,[0.83678161 0.82742317 0.84353741 0.8604119  0.83526682],0.8406841825338593,[0.78055064 0.77079812 0.79044787 0.81499782 0.77931845],0.7872225794343372,[0.76536458 0.76822917 0.76707589 0.7952753  0.76655951],0.7725008900091137,[0.86618304 0.87909226 0.86532738 0.89627976 0.87077602],0.8755316914445205
3,gb,[0.79881657 0.78698225 0.81952663 0.82840237 0.82195846],0.8111372535248362,[0.78013393 0.76908482 0.7906994  0.80546875 0.79590311],0.7882580029619504,[0.8411215  0.83098592 0.86230248 0.86697248 0.8630137 ],0.8528792139168792,[0.78784404 0.77447632 0.81939505 0.82439159 0.82007116],0.805235633445081,[0.78013393 0.76908482 0.7906994  0.80546875 0.79590311],0.7882580029619504,[0.87864583 0.88768601 0.88322173 0.89910714 0.88344797],0.8864217361585782
4,mlp,[0.78994083 0.78994083 0.80177515 0.82544379 0.8041543 ],0.8022509788773199,[0.76994048 0.77756696 0.7733631  0.8015625  0.78609076],0.7817047590567328,[0.83449883 0.83054893 0.84807256 0.86498856 0.84507042],0.8446358607518091,[0.7784237  0.77673306 0.79728527 0.82170496 0.79391321],0.79361204033587,[0.76994048 0.77756696 0.7733631  0.8015625  0.78609076],0.7817047590567328,[0.86186756 0.87693452 0.8609747  0.89713542 0.87126196],0.8736348328206882
5,svm,[0.77514793 0.79289941 0.79289941 0.79881657 0.79525223],0.7910031078257511,[0.74735863 0.77689732 0.76469494 0.77403274 0.76983029],0.7665627848029164,[0.82648402 0.83490566 0.84090909 0.8440367  0.84137931],0.8375429554287648,[0.76511164 0.78048689 0.78643317 0.79100822 0.78775014],0.7821580115504815,[0.74735863 0.77689732 0.76469494 0.77403274 0.76983029],0.7665627848029164,[0.86130952 0.87098214 0.8452381  0.87600446 0.85739384],0.8621856131806791
6,xgb,[0.78402367 0.80473373 0.79289941 0.83727811 0.78635015],0.8010570119221112,[0.75755208 0.78031994 0.75859375 0.80956101 0.75054202],0.771313760252905,[0.83295195 0.84862385 0.84375    0.8758465  0.83928571],0.8480916027410966,[0.77475493 0.79768489 0.79205882 0.84011854 0.78616258],0.7981559532171685,[0.75755208 0.78031994 0.75859375 0.80956101 0.75054202],0.771313760252905,[0.85580357 0.88065476 0.85814732 0.8937872  0.86972937],0.8716244446343131
