,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.88987567 0.89165187 0.92539964],0.9023090586145649,[0.70111443 0.71974571 0.7383004 ],0.7197201797385621,[0.43636364 0.46017699 0.55319149],0.48324403895859364,[0.67660412 0.68472732 0.77828712],0.7132061852113624,[0.70111443 0.71974571 0.7383004 ],0.7197201797385621,[0.70111443 0.71974571 0.7383004 ],0.7197201797385621
1,rf,[0.94316163 0.94316163 0.94316163],0.9431616341030195,[0.73923866 0.73923866 0.71275659],0.7304113051470589,[0.6097561  0.6097561  0.57894737],0.5994865211810012,[0.87878972 0.87878972 0.91304833],0.8902092531965481,[0.73923866 0.73923866 0.71275659],0.7304113051470589,[0.84926471 0.88398055 0.87195542],0.8684002246732024
2,log-reg,[0.93072824 0.93428064 0.92539964],0.9301361752516283,[0.6529565  0.65490962 0.61471737],0.6408611621732027,[0.45070423 0.46376812 0.36363636],0.426036234976835,[0.86777164 0.91233435 0.86441606],0.8815073500459477,[0.6529565  0.65490962 0.61471737],0.6408611621732027,[0.83122702 0.83903952 0.86354933],0.8446052900326797
3,gb,[0.92362345 0.93783304 0.93960924],0.9336885731201895,[0.62256817 0.73630898 0.68432138],0.6810661764705882,[0.37681159 0.58823529 0.52777778],0.49760822203277444,[0.82624873 0.84307239 0.92286066],0.8640605908681315,[0.62256817 0.73630898 0.68432138],0.6810661764705882,[0.62283624 0.85315181 0.87478937],0.7835924734477123
4,mlp,[0.93605684 0.94138544 0.93605684],0.9378330373001775,[0.73533241 0.71178002 0.65588618],0.7009995404411765,[0.58139535 0.57142857 0.47058824],0.5411373851866328,[0.83252165 0.89607506 0.93853695],0.8890445530480037,[0.73533241 0.71178002 0.65588618],0.7009995404411765,[0.87381281 0.86209406 0.8571921 ],0.8643663194444443
5,svm,[0.92362345 0.93072824 0.92362345],0.92599171107164,[0.57843137 0.63530178 0.57843137],0.5973881740196078,[0.27118644 0.41791045 0.27118644],0.32009444303904205,[0.96126126 0.90367916 0.96126126],0.9420672271906275,[0.57843137 0.63530178 0.57843137],0.5973881740196078,[0.80399816 0.86768536 0.86144301],0.8443755106209151
6,xgb,[0.94849023 0.93428064 0.93960924],0.940793368857312,[0.77747779 0.73435585 0.71080346],0.7408790339052288,[0.66666667 0.57471264 0.56410256],0.6018272914824639,[0.88190491 0.82255429 0.88035517],0.8616047905458301,[0.77747779 0.73435585 0.71080346],0.7408790339052288,[0.83501838 0.85087316 0.86948529],0.8517922794117646
