,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.93195266 0.90828402 0.90828402 0.90828402 0.91097923],0.9135567924428916,[0.63170996 0.5        0.5        0.5        0.5       ],0.5263419913419913,[0.41025641 0.         0.         0.         0.        ],0.08205128205128205,[0.91100979 0.45414201 0.45414201 0.45414201 0.45548961],0.5457850887469599,[0.63170996 0.5        0.5        0.5        0.5       ],0.5263419913419913,[0.77786797 0.75869497 0.74235578 0.75433435 0.75846906],0.7583444242178612
1,rf,[0.94674556 0.94674556 0.94970414 0.94378698 0.94658754],0.9467139571225396,[0.73008658 0.72417779 0.74030682 0.72254912 0.715038  ],0.7264316622748902,[0.60869565 0.60869565 0.63829787 0.59574468 0.59090909],0.6084685896896812,[0.91265528 0.94035088 0.94390528 0.91110248 0.93796992],0.9291967690966547,[0.73008658 0.72417779 0.74030682 0.72254912 0.715038  ],0.7264316622748902,[0.86168831 0.9167805  0.8588841  0.91362824 0.86525516],0.8832472627019229
2,log-reg,[0.92899408 0.92011834 0.93195266 0.93195266 0.91988131],0.9265798114234546,[0.61504329 0.5790165  0.62903226 0.62903226 0.580076  ],0.6064400614621273,[0.36842105 0.27027027 0.41025641 0.41025641 0.27027027],0.345894882736988,[0.90265152 0.87751004 0.96515152 0.96515152 0.81926407],0.9059457309758514,[0.61504329 0.5790165  0.62903226 0.62903226 0.580076  ],0.6064400614621273,[0.81872294 0.86750026 0.85163392 0.82809709 0.86047774],0.8452863911332967
3,gb,[0.9112426  0.90828402 0.90828402 0.90828402 0.91097923],0.9094147806085721,[0.5 0.5 0.5 0.5 0.5],0.5,[0. 0. 0. 0. 0.],0.0,[0.4556213  0.45414201 0.45414201 0.45414201 0.45548961],0.45470739030428603,[0.5 0.5 0.5 0.5 0.5],0.5,[0.67878788 0.29646948 0.293002   0.51103289 0.5       ],0.45585844788114416
4,mlp,[0.93195266 0.94378698 0.93786982 0.94378698 0.93768546],0.939016381928959,[0.69188312 0.73704949 0.69029106 0.72254912 0.665038  ],0.7013621580339034,[0.5106383  0.6122449  0.53333333 0.59574468 0.48780488],0.5479532176129404,[0.82490379 0.89166667 0.89925044 0.91110248 0.92387061],0.890158798653706,[0.69188312 0.73704949 0.69029106 0.72254912 0.665038  ],0.7013621580339034,[0.87489177 0.87727225 0.8956604  0.8584638  0.85700326],0.8726582961362828
5,svm,[0.93195266 0.9260355  0.93786982 0.93786982 0.92284866],0.9313152950678629,[0.64675325 0.59677419 0.67579069 0.69029106 0.58170467],0.638262771517999,[0.43902439 0.32432432 0.51162791 0.53333333 0.27777778],0.4172175465312164,[0.87698082 0.9623494  0.92765849 0.89925044 0.87890232],0.9090282917552639,[0.64675325 0.59677419 0.67579069 0.69029106 0.58170467],0.638262771517999,[0.77002165 0.88578334 0.85825365 0.84364821 0.84006515],0.8395543973031627
6,xgb,[0.9408284  0.94674556 0.94970414 0.94674556 0.95252226],0.9473091847663863,[0.71179654 0.72417779 0.74030682 0.73867815 0.73333333],0.7296585263008506,[0.56521739 0.60869565 0.63829787 0.625      0.63636364],0.6147149104364644,[0.87985248 0.94035088 0.94390528 0.91625435 0.9752322 ],0.9311190383037451,[0.71179654 0.72417779 0.74030682 0.73867815 0.73333333],0.7296585263008506,[0.82954545 0.83828938 0.87559105 0.91215719 0.89750271],0.870617157176472
