,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.77209302 0.81308411 0.78971963 0.74766355 0.79906542],0.7843251467072376,[0.73641026 0.77708333 0.7425     0.6990625  0.758125  ],0.7426362179487178,[0.83501684 0.86666667 0.85148515 0.82       0.85714286],0.846062301468242,[0.73059224 0.77708333 0.74943748 0.6990625  0.76048565],0.7433322402704432,[0.73641026 0.77708333 0.7425     0.6990625  0.758125  ],0.7426362179487178,[0.73641026 0.77708333 0.7425     0.6990625  0.758125  ],0.7426362179487178
1,rf,[0.79534884 0.8411215  0.8411215  0.79439252 0.8364486 ],0.8216865898717671,[0.74435897 0.788125   0.77916667 0.72791667 0.7803125 ],0.7639759615384616,[0.85620915 0.89032258 0.89171975 0.85897436 0.88745981],0.8769371284486406,[0.75885485 0.82013889 0.82682927 0.75973409 0.81536388],0.7961841954739736,[0.74435897 0.788125   0.77916667 0.72791667 0.7803125 ],0.7639759615384616,[0.85425641 0.90890625 0.84479167 0.83666667 0.86421875],0.8617679487179487
2,log-reg,[0.84186047 0.85514019 0.82242991 0.80373832 0.81775701],0.8281851771354054,[0.80384615 0.798125   0.74791667 0.7390625  0.75802083],0.7693942307692307,[0.88815789 0.90095847 0.88050314 0.86538462 0.87459807],0.8819204383937539,[0.81536087 0.84428004 0.80797101 0.7724359  0.79028478],0.8060665201245932,[0.80384615 0.798125   0.74791667 0.7390625  0.75802083],0.7693942307692307,[0.884      0.9003125  0.85479167 0.8540625  0.88427083],0.8754875
3,gb,[0.81860465 0.80841121 0.84579439 0.82242991 0.81775701],0.8225994349054554,[0.76974359 0.76479167 0.79145833 0.7703125  0.7625    ],0.771761217948718,[0.87296417 0.86468647 0.89389068 0.87662338 0.87378641],0.8763902195318994,[0.78882056 0.77236687 0.82790343 0.79328662 0.78816467],0.7941084291630356,[0.76974359 0.76479167 0.79145833 0.7703125  0.7625    ],0.771761217948718,[0.87707692 0.89713542 0.86578125 0.86916667 0.87760417],0.8773528846153846
4,mlp,[0.81395349 0.8364486  0.8317757  0.80841121 0.81775701],0.8216692023473158,[0.74897436 0.78479167 0.7725     0.71552083 0.76697917],0.7577532051282051,[0.87261146 0.88673139 0.88461538 0.87384615 0.87296417],0.8781537128793119,[0.79023195 0.81263579 0.81054131 0.80315018 0.78640072],0.8005919894346771,[0.74897436 0.78479167 0.7725     0.71552083 0.76697917],0.7577532051282051,[0.868      0.895625   0.864375   0.85510417 0.8825    ],0.8731208333333333
5,svm,[0.84186047 0.85981308 0.8411215  0.82242991 0.82242991],0.8375309715279287,[0.76461538 0.7925     0.76572917 0.7434375  0.73447917],0.7601522435897434,[0.89440994 0.90566038 0.89375    0.88125    0.88271605],0.891557272925881,[0.84883721 0.86335404 0.84104278 0.81243316 0.82341954],0.8378173445256337,[0.76461538 0.7925     0.76572917 0.7434375  0.73447917],0.7601522435897434,[0.88871795 0.8821875  0.83322917 0.83916667 0.8653125 ],0.8617227564102563
6,xgb,[0.81395349 0.81775701 0.8271028  0.81775701 0.8317757 ],0.8216692023473158,[0.77512821 0.76697917 0.77364583 0.75354167 0.78145833],0.770150641025641,[0.86754967 0.87296417 0.8802589  0.87539936 0.88311688],0.8758577964141805,[0.7801274  0.78640072 0.80040023 0.79279442 0.80537975],0.7930205021840082,[0.77512821 0.76697917 0.77364583 0.75354167 0.78145833],0.770150641025641,[0.85917949 0.8865625  0.8559375  0.8465625  0.8590625 ],0.8614608974358975
