,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.77946768 0.73142857],0.7554481260184682,[0.76464598 0.71661963],0.7406328040450438,[0.82370821 0.78341014],0.803559172467889,[0.76464598 0.71369672],0.739171352291546,[0.76464598 0.71661963],0.7406328040450438,[0.76464598 0.71661963],0.7406328040450438
1,rf,[0.79847909 0.78857143],0.7935252580119501,[0.77780692 0.75911854],0.7684627312421891,[0.8422619  0.83842795],0.840344926180079,[0.78685338 0.77948015],0.7831667644464714,[0.77780692 0.75911854],0.7684627312421891,[0.87294216 0.85934495],0.8661435552265434
2,log-reg,[0.79847909 0.78857143],0.7935252580119501,[0.77882524 0.76118107],0.7700031519249886,[0.84179104 0.8374817 ],0.8396363715827888,[0.78646271 0.77822381],0.7823432585755972,[0.77882524 0.76118107],0.7700031519249886,[0.87354389 0.86432293],0.8689334103104158
3,gb,[0.78707224 0.8       ],0.7935361216730038,[0.76868838 0.76926835],0.7689783630268179,[0.83183183 0.84804631],0.8399390707639622,[0.77341309 0.79426668],0.7838398878322168,[0.76868838 0.76926835],0.7689783630268179,[0.88415904 0.86270238],0.8734307089753032
4,mlp,[0.79087452 0.78857143],0.7897229766431287,[0.76561801 0.75705601],0.7613370113138678,[0.83823529 0.83936324],0.8387992678981867,[0.78026862 0.78092058],0.7805946023079874,[0.76561801 0.75705601],0.7613370113138678,[0.88020922 0.85942249],0.8698158548439356
5,svm,[0.7756654  0.77904762],0.7773565091435815,[0.74836838 0.75151976],0.7499440698625276,[0.82697947 0.82991202],0.8284457478005864,[0.76359528 0.76712893],0.7653621027987023,[0.74836838 0.75151976],0.7499440698625276,[0.86723343 0.85073817],0.8589857965002612
6,xgb,[0.78707224 0.7847619 ],0.7859170740539562,[0.76767007 0.76329787],0.7654839692654252,[0.83233533 0.83159463],0.8319649821073204,[0.77366586 0.77128271],0.7724742885728095,[0.76767007 0.76329787],0.7654839692654252,[0.87929891 0.86033745],0.8698181770663922
