,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.76303318 0.76666667 0.75238095 0.74761905 0.73333333],0.75260663507109,[0.70641542 0.72253358 0.69600928 0.6969697  0.67249417],0.69888442877379,[0.83108108 0.82807018 0.82312925 0.816609   0.81081081],0.8219400631141921,[0.77925532 0.76704545 0.76478267 0.74372071 0.73541888],0.7580446043432982,[0.70641542 0.72253358 0.69600928 0.6969697  0.67249417],0.69888442877379,[0.7510069  0.80229974 0.7452894  0.76214064 0.77947747],0.7680428295306545
1,rf,[0.77251185 0.8047619  0.73809524 0.78095238 0.8       ],0.7792642744301512,[0.73432106 0.79075273 0.7222437  0.752331   0.77272727],0.7544751517043526,[0.82978723 0.84410646 0.78927203 0.83211679 0.84671533],0.8283995690721084,[0.76704918 0.79224942 0.72115385 0.76905551 0.79080365],0.7680623197321419,[0.73432106 0.79075273 0.7222437  0.752331   0.77272727],0.7544751517043526,[0.87274645 0.90535317 0.81099623 0.8670843  0.88942308],0.8691206478214883
2,log-reg,[0.80094787 0.80952381 0.74761905 0.76666667 0.8       ],0.7849514782216204,[0.77229574 0.78703256 0.71731568 0.73834499 0.77534965],0.7580677254268905,[0.84782609 0.85185185 0.80586081 0.82051282 0.84558824],0.8343279600952235,[0.7943097  0.80099301 0.73291218 0.75223558 0.78928571],0.7739472374960011,[0.77229574 0.78703256 0.71731568 0.73834499 0.77534965],0.7580677254268905,[0.87332183 0.90506329 0.82983863 0.86956099 0.87898213],0.8713533744575391
3,gb,[0.8056872  0.82857143 0.79047619 0.82857143 0.8       ],0.8106612502821035,[0.77354239 0.80481206 0.75920379 0.80594406 0.76486014],0.7816724857260174,[0.85304659 0.86764706 0.84057971 0.86764706 0.85      ],0.855784084554813,[0.8031994  0.82423682 0.78461538 0.82142857 0.79718832],0.8061336991833603,[0.77354239 0.80481206 0.75920379 0.80594406 0.76486014],0.7816724857260174,[0.88785002 0.91264857 0.84843946 0.87718531 0.87995338],0.8812153483293208
4,mlp,[0.79620853 0.80952381 0.76666667 0.78095238 0.8047619 ],0.7916226585420898,[0.77359033 0.78703256 0.73509518 0.74708625 0.77651515],0.7638638948258235,[0.84132841 0.85185185 0.82181818 0.83453237 0.85090909],0.8400879823927954,[0.78507194 0.80099301 0.75599747 0.77226027 0.79715061],0.7822946620319481,[0.77359033 0.78703256 0.73509518 0.74708625 0.77651515],0.7638638948258235,[0.87375336 0.890086   0.82317132 0.85508936 0.88126457],0.86467291995
5,svm,[0.77251185 0.78095238 0.73809524 0.77142857 0.82857143],0.7783118934777703,[0.744486   0.77166876 0.71973138 0.75524476 0.80332168],0.7588905136156079,[0.82481752 0.82170543 0.79087452 0.81818182 0.86861314],0.8248384852375086,[0.76020616 0.76672043 0.72086247 0.75524476 0.82342585],0.7652919329701275,[0.744486   0.77166876 0.71973138 0.75524476 0.80332168],0.7588905136156079,[0.87293824 0.86935936 0.80278288 0.84139472 0.88136169],0.853567377882529
6,xgb,[0.79620853 0.7952381  0.75238095 0.77619048 0.8047619 ],0.7849559918754231,[0.76850786 0.7655329  0.72113248 0.74592075 0.76340326],0.7528994502132004,[0.84363636 0.84363636 0.81021898 0.82909091 0.85614035],0.836544593068604,[0.78794735 0.78914141 0.73885816 0.76427304 0.81097351],0.7782386940570482,[0.76850786 0.7655329  0.72113248 0.74592075 0.76340326],0.7528994502132004,[0.87936325 0.9120688  0.83409025 0.85416667 0.88495532],0.872928858217292
