,model-name,cv-accuracy-raw,cv-accuracy-mean,cv-balanced-accuracy-raw,cv-balanced-accuracy-mean,cv-f1-raw,cv-f1-mean,cv-precision-raw,cv-precision-mean,cv-recall-raw,cv-recall-mean,cv-auc-raw,cv-auc-mean
0,dt,[0.76303318 0.76666667 0.75238095 0.74761905 0.73333333],0.75260663507109,[0.70641542 0.72253358 0.69600928 0.6969697  0.67249417],0.69888442877379,[0.83108108 0.82807018 0.82312925 0.816609   0.81081081],0.8219400631141921,[0.77925532 0.76704545 0.76478267 0.74372071 0.73541888],0.7580446043432982,[0.70641542 0.72253358 0.69600928 0.6969697  0.67249417],0.69888442877379,[0.7510069  0.80229974 0.7452894  0.76214064 0.77947747],0.7680428295306545
1,rf,[0.79146919 0.82380952 0.75714286 0.78571429 0.7952381 ],0.7906747912435115,[0.75963751 0.80099527 0.72243695 0.75874126 0.76107226],0.7605766499741763,[0.84172662 0.86346863 0.81588448 0.83516484 0.84587814],0.8404245402582461,[0.78530032 0.81785714 0.7463613  0.77382054 0.79024943],0.7827177459992113,[0.75963751 0.80099527 0.72243695 0.75874126 0.76107226],0.7605766499741763,[0.87533563 0.90317905 0.81486134 0.86689005 0.89180264],0.8704137442795767
2,log-reg,[0.80094787 0.80952381 0.75238095 0.78571429 0.7952381 ],0.7887610020311442,[0.77483698 0.78703256 0.72113248 0.75611888 0.76893939],0.7616120585054782,[0.84671533 0.85185185 0.81021898 0.83636364 0.84249084],0.8375281274551348,[0.79250868 0.80099301 0.73885816 0.77523223 0.78461301],0.7784410167034698,[0.77483698 0.78703256 0.72113248 0.75611888 0.76893939],0.7616120585054782,[0.87543153 0.90250266 0.82529713 0.87004662 0.87956488],0.8705685635050792
3,gb,[0.78199052 0.84285714 0.79047619 0.8047619  0.82857143],0.8097314375987361,[0.75206176 0.82128708 0.75669147 0.78438228 0.80332168],0.7835488536329198,[0.83333333 0.87822878 0.84172662 0.84758364 0.86861314],0.853897103227,[0.77243988 0.83928571 0.78684807 0.79277072 0.82342585],0.8029540485804937,[0.75206176 0.82128708 0.75669147 0.78438228 0.80332168],0.7835488536329198,[0.88415804 0.91719007 0.85351242 0.87373737 0.88170163],0.8820599049654998
4,mlp,[0.80094787 0.8047619  0.77619048 0.76666667 0.8047619 ],0.790665763935906,[0.77229574 0.78572809 0.74272877 0.74096737 0.78175991],0.7646959741389154,[0.84782609 0.84644195 0.83032491 0.81918819 0.84870849],0.8384979246472293,[0.7943097  0.79381955 0.76883562 0.75139325 0.79395075],0.7804617758529626,[0.77229574 0.78572809 0.74272877 0.74096737 0.78175991],0.7646959741389154,[0.87696586 0.89486907 0.82858247 0.85528361 0.88335276],0.8678107531982302
5,svm,[0.78672986 0.78571429 0.72380952 0.76666667 0.80952381],0.7744888287068381,[0.75584964 0.76041163 0.68315779 0.73834499 0.78554779],0.7446623672974045,[0.83754513 0.83394834 0.79285714 0.82051282 0.85294118],0.8275609211355475,[0.77878788 0.775      0.7085488  0.75223558 0.8       ],0.7629144516740745,[0.75584964 0.76041163 0.68315779 0.73834499 0.78554779],0.7446623672974045,[0.88444572 0.87042226 0.8063581  0.84042347 0.88024476],0.856378861794844
6,xgb,[0.79146919 0.7952381  0.75714286 0.77142857 0.79047619],0.781150981719702,[0.75709628 0.77055754 0.72997391 0.73426573 0.75203963],0.7487866185735544,[0.84285714 0.84132841 0.81180812 0.82857143 0.84397163],0.8337073467999119,[0.78753754 0.78571429 0.74285714 0.76285963 0.78833333],0.773460386653935,[0.75709628 0.77055754 0.72997391 0.73426573 0.75203963],0.7487866185735544,[0.86814346 0.89544884 0.84046768 0.85188423 0.8738345 ],0.8659557398614313
